ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
4,CAPRI,11,ESTADIO,174
4,CAPRI,12,MZ. SABER,68
4,CAPRI,13,ST LIBRADA,76
4,CAPRI,14,SAN BOSCO,66
4,CAPRI,15,SAN PASCUA,21
4,CAPRI,23,SUCRE,1
4,CAPRI,24,PETECUY,28
4,CAPRI,25,SAN PEDRO,46
4,CAPRI,26,T. CALI,66
4,CAPRI,27,FRAY DAMIAN,1
4,CAPRI,28,CENTRO,59
4,CAPRI,29,ERMITA,94
4,CAPRI,30,RIO CALI,4
4,CAPRI,31,SAN NICOLA,0
4,CAPRI,32,PILOTO,5
4,CAPRI,33,FATIMA,10
4,CAPRI,34,MANZANARES,5
4,CAPRI,35,POPULAR,27
4,CAPRI,36,SALOMIA,42
4,CAPRI,37,FLORA IND,45
4,CAPRI,38,CHIMINANGOS,115
4,CAPRI,39,UNIVERSIDA,340
4,CAPRI,40,UND DEPORT,105
4,CAPRI,42,CAICEDO,67
4,CAPRI,43,VERSALLES,51
4,CAPRI,44,AMERICAS,96
4,CAPRI,45,PRADOS,29
4,CAPRI,46,VIPASA,26
4,CAPRI,47,ALAMOS,62
4,CAPRI,56,TERMINAL MENGA,61
5,CALDAS,1,UNIVALLE,44
5,CALDAS,2,BUITRERA,190
5,CALDAS,3,MELENDEZ,115
5,CALDAS,4,CAPRI,36
5,CALDAS,5,CALDAS,229
5,CALDAS,6,REFUGIO,25
5,CALDAS,7,PAMPALINDA,53
5,CALDAS,8,PLZ TOROS,22
5,CALDAS,9,LIDO,45
5,CALDAS,10,TEQUENDAMA,148
5,CALDAS,11,ESTADIO,127
5,CALDAS,12,MZ. SABER,71
5,CALDAS,13,ST LIBRADA,75
5,CALDAS,14,SAN BOSCO,86
5,CALDAS,15,SAN PASCUA,30
5,CALDAS,23,SUCRE,2
5,CALDAS,24,PETECUY,34
5,CALDAS,25,SAN PEDRO,56
5,CALDAS,26,T. CALI,56
5,CALDAS,27,FRAY DAMIAN,2
5,CALDAS,28,CENTRO,93
5,CALDAS,29,ERMITA,91
5,CALDAS,30,RIO CALI,8
5,CALDAS,31,SAN NICOLA,2
5,CALDAS,32,PILOTO,5
5,CALDAS,33,FATIMA,23
5,CALDAS,34,MANZANARES,13
5,CALDAS,35,POPULAR,17
5,CALDAS,36,SALOMIA,29
5,CALDAS,37,FLORA IND,47
5,CALDAS,38,CHIMINANGOS,99
5,CALDAS,39,UNIVERSIDA,410
5,CALDAS,40,UND DEPORT,89
5,CALDAS,42,CAICEDO,54
5,CALDAS,43,VERSALLES,52
5,CALDAS,44,AMERICAS,106
5,CALDAS,45,PRADOS,32
5,CALDAS,46,VIPASA,28
5,CALDAS,47,ALAMOS,44
5,CALDAS,56,TERMINAL MENGA,69
6,REFUGIO,1,UNIVALLE,20
6,REFUGIO,2,BUITRERA,88
6,REFUGIO,3,MELENDEZ,95
6,REFUGIO,4,CAPRI,44
6,REFUGIO,5,CALDAS,23
6,REFUGIO,6,REFUGIO,181
6,REFUGIO,7,PAMPALINDA,65
6,REFUGIO,8,PLZ TOROS,11
6,REFUGIO,9,LIDO,51
6,REFUGIO,10,TEQUENDAMA,143
6,REFUGIO,11,ESTADIO,133
6,REFUGIO,12,MZ. SABER,71
6,REFUGIO,13,ST LIBRADA,47
6,REFUGIO,14,SAN BOSCO,48
6,REFUGIO,15,SAN PASCUA,21
6,REFUGIO,23,SUCRE,1
6,REFUGIO,24,PETECUY,13
6,REFUGIO,25,SAN PEDRO,34
6,REFUGIO,26,T. CALI,46
6,REFUGIO,27,FRAY DAMIAN,0
6,REFUGIO,28,CENTRO,40
6,REFUGIO,29,ERMITA,76
6,REFUGIO,30,RIO CALI,3
6,REFUGIO,31,SAN NICOLA,2
6,REFUGIO,32,PILOTO,2
6,REFUGIO,33,FATIMA,8
6,REFUGIO,34,MANZANARES,11
6,REFUGIO,35,POPULAR,12
6,REFUGIO,36,SALOMIA,28
6,REFUGIO,37,FLORA IND,25
6,REFUGIO,38,CHIMINANGOS,79
6,REFUGIO,39,UNIVERSIDA,195
6,REFUGIO,40,UND DEPORT,101
6,REFUGIO,42,CAICEDO,35
6,REFUGIO,43,VERSALLES,34
6,REFUGIO,44,AMERICAS,40
6,REFUGIO,45,PRADOS,14
6,REFUGIO,46,VIPASA,12
6,REFUGIO,47,ALAMOS,27
6,REFUGIO,56,TERMINAL MENGA,22
7,PAMPALINDA,1,UNIVALLE,43
