ID_ORIGEN,NOMBRE_ORIGEN,ID_DESTINO,NOMBRE_DESTINO,CONTEO
4,CAPRI,11,ESTADIO,23
4,CAPRI,12,MZ. SABER,11
4,CAPRI,13,ST LIBRADA,12
4,CAPRI,14,SAN BOSCO,9
4,CAPRI,15,SAN PASCUA,3
4,CAPRI,23,SUCRE,0
4,CAPRI,24,PETECUY,1
4,CAPRI,25,SAN PEDRO,4
4,CAPRI,26,T. CALI,3
4,CAPRI,27,FRAY DAMIAN,0
4,CAPRI,28,CENTRO,2
4,CAPRI,29,ERMITA,6
4,CAPRI,30,RIO CALI,0
4,CAPRI,31,SAN NICOLA,0
4,CAPRI,32,PILOTO,0
4,CAPRI,33,FATIMA,0
4,CAPRI,34,MANZANARES,3
4,CAPRI,35,POPULAR,8
4,CAPRI,36,SALOMIA,7
4,CAPRI,37,FLORA IND,15
4,CAPRI,38,CHIMINANGOS,25
4,CAPRI,39,UNIVERSIDA,62
4,CAPRI,40,UND DEPORT,17
4,CAPRI,42,CAICEDO,1
4,CAPRI,43,VERSALLES,2
4,CAPRI,44,AMERICAS,4
4,CAPRI,45,PRADOS,3
4,CAPRI,46,VIPASA,5
4,CAPRI,47,ALAMOS,13
4,CAPRI,56,TERMINAL MENGA,8
5,CALDAS,1,UNIVALLE,6
5,CALDAS,2,BUITRERA,16
5,CALDAS,3,MELENDEZ,17
5,CALDAS,4,CAPRI,8
5,CALDAS,5,CALDAS,31
5,CALDAS,6,REFUGIO,1
5,CALDAS,7,PAMPALINDA,12
5,CALDAS,8,PLZ TOROS,3
5,CALDAS,9,LIDO,0
5,CALDAS,10,TEQUENDAMA,14
5,CALDAS,11,ESTADIO,16
5,CALDAS,12,MZ. SABER,6
5,CALDAS,13,ST LIBRADA,12
5,CALDAS,14,SAN BOSCO,12
5,CALDAS,15,SAN PASCUA,4
5,CALDAS,23,SUCRE,0
5,CALDAS,24,PETECUY,5
5,CALDAS,25,SAN PEDRO,1
5,CALDAS,26,T. CALI,3
5,CALDAS,27,FRAY DAMIAN,0
5,CALDAS,28,CENTRO,5
5,CALDAS,29,ERMITA,3
5,CALDAS,30,RIO CALI,0
5,CALDAS,31,SAN NICOLA,0
5,CALDAS,32,PILOTO,0
5,CALDAS,33,FATIMA,2
5,CALDAS,34,MANZANARES,2
5,CALDAS,35,POPULAR,1
5,CALDAS,36,SALOMIA,6
5,CALDAS,37,FLORA IND,11
5,CALDAS,38,CHIMINANGOS,22
5,CALDAS,39,UNIVERSIDA,53
5,CALDAS,40,UND DEPORT,9
5,CALDAS,42,CAICEDO,1
5,CALDAS,43,VERSALLES,5
5,CALDAS,44,AMERICAS,13
5,CALDAS,45,PRADOS,6
5,CALDAS,46,VIPASA,2
5,CALDAS,47,ALAMOS,4
5,CALDAS,56,TERMINAL MENGA,10
6,REFUGIO,1,UNIVALLE,2
6,REFUGIO,2,BUITRERA,14
6,REFUGIO,3,MELENDEZ,32
6,REFUGIO,4,CAPRI,4
6,REFUGIO,5,CALDAS,6
6,REFUGIO,6,REFUGIO,36
6,REFUGIO,7,PAMPALINDA,10
6,REFUGIO,8,PLZ TOROS,0
6,REFUGIO,9,LIDO,9
6,REFUGIO,10,TEQUENDAMA,16
6,REFUGIO,11,ESTADIO,20
6,REFUGIO,12,MZ. SABER,12
6,REFUGIO,13,ST LIBRADA,6
6,REFUGIO,14,SAN BOSCO,10
6,REFUGIO,15,SAN PASCUA,1
6,REFUGIO,23,SUCRE,0
6,REFUGIO,24,PETECUY,1
6,REFUGIO,25,SAN PEDRO,5
6,REFUGIO,26,T. CALI,5
6,REFUGIO,27,FRAY DAMIAN,0
6,REFUGIO,28,CENTRO,2
6,REFUGIO,29,ERMITA,2
6,REFUGIO,30,RIO CALI,0
6,REFUGIO,31,SAN NICOLA,0
6,REFUGIO,32,PILOTO,0
6,REFUGIO,33,FATIMA,0
6,REFUGIO,34,MANZANARES,0
6,REFUGIO,35,POPULAR,3
6,REFUGIO,36,SALOMIA,7
6,REFUGIO,37,FLORA IND,9
6,REFUGIO,38,CHIMINANGOS,27
6,REFUGIO,39,UNIVERSIDA,27
6,REFUGIO,40,UND DEPORT,13
6,REFUGIO,42,CAICEDO,0
6,REFUGIO,43,VERSALLES,3
6,REFUGIO,44,AMERICAS,1
6,REFUGIO,45,PRADOS,2
6,REFUGIO,46,VIPASA,7
6,REFUGIO,47,ALAMOS,3
6,REFUGIO,56,TERMINAL MENGA,1
7,PAMPALINDA,1,UNIVALLE,2
