pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	28	14	2	4	8	13	2	14	2	0	315
h---pt interaction	164710	15263	76	0	0	0	0	0	0	0	0	0	0
h---w	3871	124	10	2	1	0	0	0	1	3	0	1	4
pt interaction---h	120672	1032	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	25086	34824	27357	26514	20867	6749	1218	1100	976	878	932	1080	26671
pt interaction---w	37411	4594	18	0	0	0	0	0	0	0	0	0	0
w---h	3889	154	8	6	0	2	3	1	3	8	1	1	70
w---pt interaction	39336	2392	159	0	0	0	0	0	0	0	0	0	0
w---w	800	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 1014.7650318676815 seconds = 00:16:54
