pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	25	11	1	2	3	9	1	13	1	0	271
h---pt interaction	164766	15278	76	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	11	2	1	0	0	2	0	0	0	0	5
pt interaction---h	120445	1029	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24992	34857	27166	26466	20759	6714	1336	1137	1054	1005	1214	1163	26180
pt interaction---w	37470	4580	19	0	0	0	0	0	0	0	0	0	0
w---h	3890	154	10	6	1	2	1	1	2	3	1	1	70
w---pt interaction	39386	2390	161	0	0	0	0	0	0	0	0	0	0
w---w	805	40	8	0	0	0	0	0	0	0	0	0	2

average trip duration: 1011.728480299271 seconds = 00:16:51
