ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	2123.7734936824363	
1	2122.294851180358	
2	2121.994696106434	
3	2122.3411766988024	
4	2122.407835194099	
5	2121.8866614473573	
6	2121.687676839584	
7	2121.90544638763	
8	2122.2518964260257	
9	2121.7621660347386	
10	2121.8766586729494	
11	2121.3178566603715	
12	2121.546163947169	
13	2121.6036088761	
14	2121.9998827365844	
15	2121.542932963732	
16	2122.36114914442	
17	2122.4382463326156	
18	2121.885410685144	
19	2122.15427883486	
20	2122.414153396165	
