ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	72.34744636183684	72.34744636183684	72.34744636183684	72.34744636183684
1	71.74814985672646	71.3339950796491	72.05116031542632	72.76832555120339
2	71.69548039067568	70.38837916750997	71.80717573385826	73.16361216236359
3	71.82989220680138	69.46729358078262	71.58828491311402	73.54517743356854
4	72.02513048703321	68.60349655939062	71.40732186418253	73.918775733299
5	72.07015823666629	67.63941861239329	71.18752296697446	74.27478971129344
6	72.32791918539444	66.73660254911081	70.99728156119167	74.62802321947287
7	72.4559361755131	65.8759114204428	70.83917631578423	74.95650087141954
8	72.63318847052003	65.05189561703172	70.68214768645988	75.26913040080598
9	72.71972783158718	64.21550095163657	70.53138929720528	75.58419831726036
10	72.93658684252632	63.50771232757979	70.43134054172558	75.8896284559607
11	73.04056103259762	62.71941902976737	70.34086644472978	76.19112627298851
12	73.37615516321401	62.252261104478485	70.3073929983809	76.49564355009595
13	73.56531763927043	61.83698568762723	70.31235610022159	76.77981024833979
14	73.69650251692266	61.4912330198798	70.34225974939531	77.05578787599069
15	73.83791963541054	61.245329548378955	70.40257811383032	77.31242517776467
16	74.16652940760653	61.118035981077924	70.4882282737761	77.5689404598762
17	74.35169208478679	61.10915868198135	70.5933365951749	77.82757135527561
18	74.4471801358424	61.058179779970736	70.70527208822477	78.07582593756491
19	74.62590114609782	61.14981105343166	70.8678169450143	78.31358690206585
20	74.83551239961349	61.31378573288452	71.05440550896192	78.56371650842668
