pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44615	1042	51	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	14	3	0	0	0	1	0	2	0	0	2
pt interaction---h	43855	1461	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17250	37209	30376	16275	5969	1485	341	276	235	118	67	38	246
pt interaction---w	50076	5348	26	0	0	0	0	0	0	0	0	0	0
w---h	13649	203	21	6	2	2	1	0	4	1	5	1	39
w---pt interaction	52116	2995	177	0	0	0	0	0	0	0	0	0	0
w---w	19489	71	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.0379327923516 seconds = 00:04:09
