pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44615	1045	50	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	1	0	0	3
pt interaction---h	43871	1450	32	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17247	37095	30449	16355	6030	1445	368	279	248	117	68	32	215
pt interaction---w	50098	5335	25	0	0	0	0	0	0	0	0	0	0
w---h	13647	202	21	6	1	2	1	1	2	1	2	1	45
w---pt interaction	52132	2991	175	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.9882527251561 seconds = 00:04:08
