pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44626	1048	40	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	1
pt interaction---h	44110	1455	30	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17153	36701	30740	16774	6259	1559	370	276	235	120	45	18	6
pt interaction---w	50120	5335	24	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	17	6	1	0	1	0	2	0	0	0	13
w---pt interaction	52193	2995	172	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 246.8949485906212 seconds = 00:04:06
