pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44580	1057	64	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	15	5	0	0	0	3	2	0	0	0	5
pt interaction---h	43858	1455	29	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17183	37402	30378	16253	5910	1425	309	236	214	106	72	49	265
pt interaction---w	50073	5347	25	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	18	7	4	3	2	1	5	2	6	2	76
w---pt interaction	52083	2990	175	0	0	0	0	0	0	0	0	0	0
w---w	19487	70	20	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.6219440156484 seconds = 00:04:09
