ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	1778.145292204071	
1	1777.1080190904793	
2	1776.8201946155468	
3	1776.8622664724858	
4	1776.940100244251	
5	1776.9532846598322	
6	1777.029718849377	
7	1776.705385624415	
8	1776.8143729356407	
9	1776.6178845766417	
10	1776.6065572984214	
11	1776.3267432179894	
12	1775.8824972356438	
13	1776.1629069843357	
14	1777.0369981752683	
15	1777.11638010304	
16	1776.7656237345843	
17	1777.1770388230032	
18	1777.4190934968187	
19	1776.6128431880923	
20	1776.8184517697694	
