ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	1777.8679122012134	
1	1777.8679122012134	
2	1777.8679122012134	
3	1777.8679122012134	
4	1777.8679122012134	
5	1777.8679122012134	
6	1777.8679122012134	
7	1777.8679122012134	
8	1777.8679122012134	
9	1777.8679122012134	
10	1777.8679122012134	
11	1777.8679122012134	
12	1777.8679122012134	
13	1777.8679122012134	
14	1777.8679122012134	
15	1777.8679122012134	
16	1777.8679122012134	
17	1777.8679122012134	
18	1777.8679122012134	
19	1777.8679122012134	
20	1777.8679122012134	
