pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44607	1045	51	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	14	4	0	0	0	4	0	2	1	0	2
pt interaction---h	43829	1462	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17321	37226	30414	16187	5935	1452	334	266	239	123	67	45	255
pt interaction---w	50081	5338	23	0	0	0	0	0	0	0	0	0	0
w---h	13647	203	20	6	2	2	1	0	4	6	6	2	45
w---pt interaction	52114	2986	179	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.09017507884678 seconds = 00:04:09
