pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44591	1044	65	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	16	5	0	0	0	4	1	0	1	0	4
pt interaction---h	43845	1448	28	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17291	37316	30358	16182	5985	1408	320	234	235	113	77	48	241
pt interaction---w	50082	5335	22	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	21	7	2	3	2	0	7	2	7	2	73
w---pt interaction	52066	3000	175	0	0	0	0	0	0	0	0	0	0
w---w	19487	70	19	3	0	2	1	0	0	1	0	0	2

average trip duration: 249.43246353710938 seconds = 00:04:09
