pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	17	6	0	0	1	3	0	1	1	0	48
h---pt interaction	164972	15359	62	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	10	2	0	0	0	0	0	0	0	0	0
pt interaction---h	118958	1006	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24432	34370	27222	25622	20535	7434	1386	1206	991	836	649	690	26938
pt interaction---w	37387	4550	19	0	0	0	0	0	0	0	0	0	0
w---h	3867	151	8	5	0	0	0	0	1	1	0	0	13
w---pt interaction	39363	2398	153	0	0	0	0	0	0	0	0	0	0
w---w	802	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 985.1114959457775 seconds = 00:16:25
