id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,228,0,0,228
UNIVALLE,87,13,215,302
BUITRERA,64,78,224,288
MELENDEZ,53,38,250,303
CAPRI,35,37,266,301
CALDAS,45,52,249,294
REFUGIO,132,46,249,381
PAMPALINDA,66,74,306,372
PLZ TOROS,63,29,343,406
UND DEPORT,89,50,356,444
LIDO,99,86,358,457
TEQUENDAMA,103,81,376,479
ESTADIO,36,53,426,463
MZ. SABER,157,132,331,488
ST LIBRADA,173,147,341,514
SAN BOSCO,459,105,409,868
SAN PASCUA,29,187,680,709
SUCRE,13,17,692,705
PETECUY,108,59,646,755
SAN PEDRO,496,395,360,856
T. CALI,78,392,464,542
SAN NICOLA,14,17,525,539
PILOTO,26,12,527,553
FATIMA,30,79,474,504
MANZANARES,22,45,459,482
POPULAR,7,46,436,443
SALOMIA,4,53,390,394
FLORA IND,3,144,250,253
CHIMINANGOS,0,253,0,0
