id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,142,0,0,142
UNIVALLE,207,13,129,336
BUITRERA,177,106,230,407
MELENDEZ,58,60,347,405
CAPRI,38,28,377,415
CALDAS,29,81,334,362
REFUGIO,177,87,276,452
PAMPALINDA,56,99,353,408
PLZ TOROS,85,36,373,458
UND DEPORT,234,46,412,645
LIDO,154,94,551,705
TEQUENDAMA,150,145,560,710
ESTADIO,46,79,631,677
MZ. SABER,268,217,460,728
ST LIBRADA,171,282,446,617
SAN BOSCO,395,118,499,895
SAN PASCUA,10,274,621,630
SUCRE,39,20,610,649
PETECUY,123,63,586,709
SAN PEDRO,914,256,453,1367
T. CALI,89,708,660,748
SAN NICOLA,38,9,739,777
PILOTO,48,15,762,810
FATIMA,35,110,700,735
MANZANARES,38,67,669,706
POPULAR,130,60,646,776
SALOMIA,9,96,680,690
FLORA IND,3,230,459,462
CHIMINANGOS,0,462,0,0
