id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,683,0,0,683
BUITRERA,417,84,600,1017
MELENDEZ,160,94,923,1083
CAPRI,146,33,1050,1196
PAMPALINDA,243,200,996,1239
UND DEPORT,121,275,964,1085
TEQUENDAMA,594,60,1025,1618
ESTADIO,351,113,1505,1856
SAN PASCUA,435,57,1799,2235
T. CALI,720,509,1726,2446
POPULAR,13,331,2114,2127
SALOMIA,9,295,1832,1841
FLORA IND,3,608,1233,1236
CHIMINANGOS,0,1236,0,0
