pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	16	6	0	0	1	1	0	2	0	0	31
h---pt interaction	164997	15357	59	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	10	2	0	0	0	0	0	0	0	0	0
pt interaction---h	118809	1001	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24136	34196	27159	25761	20424	7383	1434	1278	1078	935	662	785	26943
pt interaction---w	37381	4552	19	0	0	0	0	0	0	0	0	0	0
w---h	3863	150	8	6	0	0	0	0	1	1	0	0	8
w---pt interaction	39376	2391	154	0	0	0	0	0	0	0	0	0	0
w---w	801	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 984.6315380886475 seconds = 00:16:24
