pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44618	1046	47	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	1	0	0	3
pt interaction---h	43897	1455	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17285	36894	30538	16357	6054	1507	363	293	243	118	69	40	213
pt interaction---w	50101	5333	26	0	0	0	0	0	0	0	0	0	0
w---h	13648	202	20	6	1	2	1	0	2	2	2	1	34
w---pt interaction	52154	2986	174	0	0	0	0	0	0	0	0	0	0
w---w	19489	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.0805067873303 seconds = 00:04:09
