pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44595	1050	55	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	16	4	0	1	0	6	1	0	0	0	3
pt interaction---h	43871	1448	27	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17247	37396	30454	16233	5856	1428	294	241	188	103	62	50	255
pt interaction---w	50069	5350	26	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	17	7	4	2	3	1	5	6	5	1	63
w---pt interaction	52069	3009	178	0	0	0	0	0	0	0	0	0	0
w---w	19487	71	18	3	0	2	1	0	0	1	0	0	3

average trip duration: 248.65338694262635 seconds = 00:04:08
