STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
501200,CHAPI1,Chapinero A1,-76.50232000,3.44439500
501201,CHAPI2,Chapinero B1,-76.50207833,3.44423833
501250,ATGI1,Atanasio Girardot A1,-76.50843667,3.44490500
501251,ATGI2,Atanasio Girardot B1,-76.50812833,3.44475833
501300,FLORE1,Floresta A1,-76.51471000,3.44534833
501301,FLORE2,Floresta B1,-76.51444333,3.44526000
501350,BELAL1,Belalcazar A1,-76.52084000,3.44417667
501351,BELAL2,Belalcazar B1,-76.52053333,3.44414000
501400,SANPAS1,San Pascual A1,-76.52714667,3.44270500
501401,SANPAS2,San Pascual B1,-76.52771583,3.44263333
501402,SANPAS3,San Pascual A2,-76.52756833,3.44272000
501403,SANPAS4,San Pascual B2,-76.52729500,3.44266500
501405,SANPAS6,San Pascual B3,-76.52680667,3.44259500
501450,SUCRE2,Sucre B1,-76.52622667,3.44355333
501451,SUCRE4,Sucre B2,-76.52636167,3.44397667
501452,SUCRE6,Sucre B3,-76.52654500,3.44445667
501500,PTCUY2,Petecuy B1,-76.52776667,3.44870833
501501,PTCUY4,Petecuy B2,-76.52793139,3.44917472
501502,PTCUY6,Petecuy B3,-76.52809167,3.44963667
501550,SANPED2,San Pedro B1,-76.52995000,3.45410000
501551,SANPED4,San Pedro B2,-76.53009667,3.45448833
501552,SANPED6,San Pedro B3,-76.53029000,3.45491333
501600,SNTLIB1,Santa Librada A1,-76.53690167,3.43999167
501601,SNTLIB2,Santa Librada B1,-76.53717500,3.43961167
501602,SNTLIB3,Santa Librada A2,-76.53738167,3.43938833
501603,SNTLIB4,Santa Librada B2,-76.53664833,3.44020333
501650,MANZA1,Manzana del Saber A1,-76.54093000,3.43495333
501651,MANZA2,Manzana del Saber B1,-76.54092167,3.43478333
501652,MANZA3,Manzana del Saber A2,-76.54122667,3.43463000
501653,MANZA4,Manzana del Saber B2,-76.54070500,3.43521833
501700,ESTAD1,Estadio A1,-76.54316167,3.43189833
501701,ESTAD2,Estadio B1,-76.54311667,3.43172167
501702,ESTAD3,Estadio A2,-76.54342833,3.43152500
501703,ESTAD4,Estadio B2,-76.54295000,3.43215833
501750,TEQUE1,Tequendama A1,-76.54703000,3.42356667
501751,TEQUE2,Tequendama B1,-76.54700000,3.42343000
501752,TEQUE3,Tequendama A2,-76.54720500,3.42313500
501753,TEQUE4,Tequendama B2,-76.54685167,3.42381500
501800,LIDO1,Lido A1,-76.54839167,3.41891167
501801,LIDO2,Lido B1,-76.54824167,3.41871833
501802,LIDO3,Lido A2,-76.54834833,3.41843333
501803,LIDO4,Lido B2,-76.54822500,3.41914667
501850,UDP1,Unidad Deportiva A1,-76.54840167,3.41527167
501851,UDP2,Unidad Deportiva B1,-76.54823833,3.41458667
501852,UDP3,Unidad Deportiva A2,-76.54854000,3.41494167
501853,UDP4,Unidad Deportiva B2,-76.54822667,3.41499333
501854,UDP5,Unidad Deportiva A3,-76.54845000,3.41447667
501855,UDP6,Unidad Deportiva B3,-76.54827833,3.41543000
501900,PLATOR1,Plaza de Toros A1,-76.54746333,3.40960417
501901,PLATOR2,Plaza de Toros B1,-76.54744833,3.40987000
501950,PAMPA1,Pampalinda A1,-76.54687333,3.40359333
501951,PAMPA2,Pampalinda B1,-76.54678167,3.40386667
502000,REFUG1,Refugio A1,-76.54646750,3.39859889
502001,REFUG2,Refugio B1,-76.54640500,3.39891833
502050,CALDAS1,Caldas A1,-76.54599333,3.39425500
502051,CALDAS2,Caldas B1,-76.54582333,3.39397833
502100,CAPRI1,Capri A1,-76.54508500,3.38828000
502101,CAPRI2,Capri B1,-76.54479833,3.38781500
502102,CAPRI3,Capri A2,-76.54499000,3.38772833
502103,CAPRI4,Capri B2,-76.54486167,3.38828000
502150,MELEN1,Melendez A1,-76.54277833,3.37701000
502151,MELEN2,Melendez B1,-76.54279000,3.37730667
502200,BUITRE1,Buitrera A1,-76.53999500,3.37253500
502201,BUITRE2,Buitrera B1,-76.54047500,3.37282833
502250,UNIVAL1,Univalle A1,-76.53662500,3.37068667
502251,UNIVAL2,Univalle B1,-76.53685167,3.37098500
502300,UNIV1,Universidades A1,-76.52925167,3.36700500
502301,UNIV2,Universidades B1,-76.52905000,3.36709000
502302,UNIV3,Universidades A2,-76.52896000,3.36682167
502303,UNIV4,Universidades B2,-76.52939500,3.36718333
502304,UNIVCOM1,Universidades C1,-76.52821083,3.36655583
502305,UNIVCOM2,Universidades D1,-76.52821000,3.36666667
502350,VERSALL1,Versalles A1,-76.52710167,3.46115167
502351,VERSALL2,Versalles B1,-76.52690333,3.46129333
502400,L.AMERI1,Las Americas A1,-76.52530833,3.46351667
502401,L.AMERI2,Las Americas B1,-76.52514167,3.46373000
502450,PRADNOR1,Prados del Norte A1,-76.51970000,3.47439167
502451,PRADNOR2,Prados del Norte B1,-76.51947833,3.47436167
