STOPID,SHORTNAME,LONGNAME,LONGITUDE,LATITUDE
511257,C25K1222,Cl 25 entre Kr 122 y 121,-76.52411889,3.34474250
511260,C18UJAV1,Cl 18 entre Kr 115 y 122,-76.53060333,3.34796111
511261,C18UJAV2,Cl 18 entre Kr 121 y 118,-76.53047806,3.34808750
511262,K118C22A,K118 entre CL20 y 22A Alferes Real,-76.52852500,3.35067417
511263,C25K117,K118 entre CL22Ay25 Colegio La Sagrada F,-76.52503444,3.35085639
511264,C18K108,Cl 18 entre Kr 108 y 106A,-76.53090500,3.36102333
511265,C16K103,Cl 16 entre Kr 105 y 103,-76.53140667,3.36469000
511267,C48K86,Cl 48 entre Kr 86 y 85,-76.51622000,3.38004333
511268,C48K83E,Cl 48 entre Kr 83E y 84,-76.51621639,3.38263500
511269,C48K83A,Cl 48 entre Kr 83A y 82A,-76.51621000,3.38543722
511270,C48K80,Cl 48 entre Kr 80 y 81,-76.51620500,3.38753139
511271,K80C45,Kr 80 entre Cl 45 y 46,-76.51817444,3.38852250
511272,C42K81,Cl 42 entre Kr 80 y 81,-76.52019444,3.38768556
511273,C42K81Y4,Cl 42 entre Kr 81 y 84,-76.52038167,3.38491611
511274,K83CC32,Kr 83C entre Cl 36 y 34,-76.52188333,3.38386833
511275,C25K83C1,Cl 25 entre Kr 83 y 83C,-76.52450806,3.38446944
511276,C25K83B2,Cl 25 entre Kr 83A y 83B,-76.52518861,3.38460778
511277,C25K90,Cl 25 entre Kr 90 y 86,-76.52446000,3.37872000
511278,C25K862,Cl 25 entre Kr 85C y 86,-76.52544361,3.37957861
511279,C25K89,Cl 25 entre Kr 89 y 94,-76.52546889,3.37660833
511281,C25K981,Cl 25 entre Kr 98 y 100,-76.52559500,3.37046528
511282,K98C16,Kr 98 entre Cl 16 y 18,-76.52770583,3.37089861
511283,C25K96,Cl 25 entre Kr 96 y 94,-76.52456611,3.37451639
511284,C25K952,Cl 25 entre Kr 95 y 98,-76.52554861,3.37329167
511285,C5K941,Cl 5 con Kr 94,-76.54295000,3.37708000
511286,K94C4C,Kr 94 entre Cl 4D y 4C,-76.54509833,3.37563500
511287,C4K93,Cl 4 entre Kr 92 y 94,-76.54714167,3.37586833
511288,K92C2C,Kr 92 entre Cl 3A y 2C,-76.54818500,3.37728333
511292,K94C4A,Kr 94 entre Cl 4 y 4A,-76.54656917,3.37486278
511293,C2K931,Cl 2 entre Kr 93 y 94,-76.55239528,3.37685111
511295,C4K922,Cl 4 entre Kr 92 y 89,-76.54455000,3.37762167
511298,C25K83C,Cl 25 entre Kr 83C y 85,-76.52436500,3.38241667
511299,C4DK94,Cl 4D entre Kr 94 y 93,-76.54460500,3.37614806
511301,C16K90UR,Cl 16 entre Kr 90 y 89 Urb. San Joaquin,-76.52893833,3.37771333
511305,K86C14,Kr 86 entre Cl 14 y 16 Univalle,-76.53240250,3.37969583
511309,K56C13G,Kr 56 entre Cl 13G y 13F,-76.53240667,3.40420000
511310,K56C13E,Kr 56 entre Cl 13E y 14,-76.53241833,3.40400667
511311,K56C13F,Kr 56 entre Cl 13F y 13,-76.53462500,3.40492500
511312,K56C13C,Kr 56 entre Cl 13 y 13C,-76.53474361,3.40478139
511313,K56C13,Kr 56 entre Cl 13 y 12A,-76.53665444,3.40557333
511315,K56C11A,Kr 56 entre Cl 11A y 10A,-76.53855111,3.40618556
511316,K56C11,Kr 56 entre Cl 10A y 11A,-76.53882667,3.40609667
511317,K98C30,Kr 98 entre Cl 30 y 42,-76.52156028,3.37073194
511318,C42K96,Cl 42 entre Kr 96 y 98,-76.52093917,3.37145639
511319,C42K95,Cl 42 entre Kr 95 y 94A,-76.52029639,3.37181306
511320,C42K94A,Cl 42 entre Kr 94A y 95,-76.52086833,3.37411861
511321,C42K952,Cl 42 entre Kr 95 y 94A 2,-76.52025722,3.37419500
511322,C42K91,Cl 42 entre Kr 91 y 92,-76.52079000,3.37673667
511323,C42K92,Cl 42 entre Kr 92 y 91,-76.52017528,3.37677083
511324,C42K85C,Cl 42 entre Kr 85C y 85E,-76.52048972,3.38021389
511329,C42K98,Cl 42 entre Kr 98 y 98B,-76.52099694,3.36969944
511334,C25K127,Cl 25 entre Kr 127 y 128,-76.52356167,3.33334667
511335,LABESTE,Aut Cali Jamun-Lab estelar,-76.52248667,3.32267556
511337,CMETROP,Cementerio Metropolitano,-76.52296917,3.31182639
511338,K168CREC,Kr 168 Centro Recreativo Comfandi Pance,-76.53121056,3.30131000
511339,K180HCA,K180 Hacienda Castillo,-76.52381583,3.29059556
511341,UANARIÑO,Univ Antonio Nariño,-76.52281278,3.31381917
511343,LESTELA,Lab Estelar - Jamun Cali,-76.52218389,3.32333222
511344,PTROBRAS,E Servicio Petrobras,-76.52342972,3.33344194
511346,C18K1121,Calle 18 entre Calle 112 y 111,-76.53031306,3.35568972
511347,C18K1142,Cl 18 entre Kr 114 y 114B,-76.53044472,3.35588972
511348,C13K83,Cl 13 entre Kr 83 y 81,-76.53816750,3.38330639
511349,C16K98,Cl 16 entre Kr 98 y 94,-76.52933333,3.37200111
511350,C4OK94,Cl 4 Oe con Kr 94,-76.55971944,3.37645389
511351,C4OK91,Cl 4 Oe con Kr 91,-76.56090417,3.37794556
511352,C4OK89,Cl 4 Oe con Kr 89,-76.56129389,3.37975861
511353,C4OK90,Cl 4 Oe con Kr 90,-76.56139583,3.37970444
511354,C4OK92,Cl 4 Oe con Kr 92,-76.56078944,3.37787139
511355,K109C42,Kr 109 con Cl 42,-76.52093500,3.35874000
511356,K109K118,Kr 109 con Kr 118,-76.50697861,3.35743944
511357,K118K109,Kr 118 con Kr 119,-76.50681750,3.35753306
511358,K109C422,Kr 109 con Cl 42,-76.52091917,3.35886111
511359,C18K1701,Cl 18 con Kr 170 1,-76.54022111,3.30745806
511360,C18K1271,Cl 18 entre Kr 129 y 127C 1,-76.53277750,3.33073028
511361,C18K118,Cl 18 entre Kr 118 y 120,-76.53072500,3.34787750
511362,K93C4,Kr 93 entre Cl 4 y 3A,-76.54761444,3.37544722
511363,K93C3A,Kr 93 entre Cl 3A y 2C,-76.54980556,3.37552306
511364,K94AC2A,Kr 94A entre Cl 2A y 2,-76.55225028,3.37585250
511365,C2K94,Cl 2 entre Kr 94 y 93,-76.55226389,3.37721472
511366,K93C1,Kr 93 entre Cl 1Bis y 1A,-76.55326972,3.37771111
511371,C2BOK93,Cl 2B Oe entre Kr 93 y 93A,-76.55674778,3.37826722
511372,K93C1A,Kr 93 con Cl 1A,-76.55367944,3.37766833
511377,K93C3B,Kr 93 entre Cl 3B y 3C,-76.54782250,3.37539556
511378,CA_CHAPA,Callejon Chaparral,-76.52028000,3.31761750
511379,VBUITRE1,Vía a la Buitrera 1,-76.56377556,3.37092278
511380,VBUITRE2,Vía a la Buitrera 2,-76.56363556,3.37078389
511381,VORA-1,Via La Voragine Hacienda La Rivera EMCAL,-76.56002639,3.34901194
511382,VORA-2,Via La Voragine Hacienda La Rivera EMCAL,-76.56027083,3.34893222
511383,V_HORM10,Via Principal del Hormiguero,-76.47959278,3.31229000
511384,V_HORM11,Via Principal del Hormiguero,-76.48054833,3.31224639
511385,C42K114A,Cl 42 entre Kr 114A y 112,-76.52021222,3.35449694
511386,C42K112,Cl 42 entre Kr 112 y 109,-76.52028583,3.35841278
511387,C42K109,Cl 42 entre Kr 112 y 109,-76.52025167,3.35632194
511388,C5K85Y86,Cl 5 entre Kr 85 y 86,-76.54382250,3.38027194
511389,C2CK94,Cl 2C entre Kr 94 y 94A,-76.55047139,3.37568111
511390,K94AC3A,Kr 94A entre Cl 3A y 3B,-76.54836111,3.37541361
511391,K94C4E,Kr 94 con Cl 4E,-76.54372556,3.37612667
511392,K93C1B,Kr 93 con Cl 1B Oe,-76.55476833,3.37788778
511393,K93AC1B,Kr 93A entre Cl 1B y 2B Oe,-76.55599111,3.37782167
511394,K93C2B1,Kr 93 con Cl 2B1 Oe,-76.55704889,3.37857333
511395,C2OK2B,Cl 2 Oe entre K2B2 y 2B,-76.55822250,3.38026583
511396,ALUISA,Altos de la Luisa,-76.55730194,3.38110778
511397,C2OK2B2,Cl 2 Oe entre Kr 2B y 2B2,-76.55816139,3.38036583
511399,K93C2B2,Kr 93 con Cl 2B2 Oe,-76.55528306,3.37772722
511400,K94C2,Kr 94 entre Cl 2 y 2A,-76.55197278,3.37572639
511401,C2CK94A,Cl 2C entre Kr 94A y 95,-76.55043389,3.37542694
511402,C42K100A,Cl 42 con Kr 100A,-76.52057972,3.36624556
511403,K104C42,Kr 104 entre Cl 42 y 45,-76.51994528,3.36460444
511404,C48K99,Cl 48 entre Kr 99 y 100,-76.51667194,3.36783389
511405,C48K100,Cl 48 entre Kr 100 y 102,-76.51663528,3.36602250
511406,C50K102,Cl 50 entre Kr 102 y 100,-76.51417833,3.36622694
511407,K99C50,Kr 99 entre Cl 50 y 48,-76.51478750,3.36842778
511408,K99C451,Kr 99 con Cl 45,-76.51869528,3.36843722
511409,K109C421,Kr 109 con Cl 42,-76.51839806,3.35859500
511412,K109C423,Kr 109 con Cl 42,-76.51828194,3.35865972
511413,C42K1121,Cl 42 entre Kr 109 y 112,-76.52042722,3.35634361
511414,C42K1122,Cl 42 entre Kr 112 y 114A,-76.52042694,3.35449944
511415,K114AC42,Kr 114A entre Cl 42 y 25,-76.52303667,3.35438444
511416,C48K94,Cl 48 entre Cr 94 y 95,-76.51665417,3.37484444
511417,C48K96,Cl 48 entre Cr 96 y 97,-76.51663750,3.37233083
511418,K98C45,Cr 98 entre Cl 45 y 42,-76.51906972,3.37086722
511419,K86C35,Cr 86 entre Cl 35 y 34,-76.52111917,3.37925917
511420,K85CC33,Cr 85C entre Cl 33 y 28,-76.52323889,3.38009944
511421,K85CC18,Cr 85C entre Cl 18 y 17,-76.52732917,3.38041056
511422,C16K85B,Cl 16 entre Cr 85B y 85A,-76.52874250,3.38133056
511423,C16K83C,Cl 16 entre Cr 83C y 83B,-76.52856056,3.38422944
511424,C16K73,Cl 16 entre Cr 73 y 76,-76.52843889,3.38964667
511425,C16K83,Cl 16 entre Cr 83 y 83A,-76.52867278,3.38535306
511426,C16K85,Cl 16 entre Cr 85 y 85A,-76.52890389,3.38194500
511427,K86C25,Cr 86 entre Cl 25 y 28,-76.52368139,3.37912417
511428,K86C34,Cr 86 entre Cl 34 y 42,-76.52174306,3.37903250
511429,R-SUR1,Resesrva Sur 1,-76.51350694,3.35971472
511430,R-SUR2,Reserva Sur 2,-76.51291083,3.36082361
511431,R-SUR3,Reserva Sur 3,-76.51172444,3.36024917
512001,A1NC10,Av 1N entre Cl 12 y 10,-76.53427833,3.45501167
512002,C18ICESI,Cl 18 entre Kr 125 y 122,-76.53101833,3.34078139
512003,C70A3CN2,Cl 70 entre Av 3BN y 3CN,-76.51450833,3.49204333
512004,C70A3CN1,Cl 70 entre Av 3CN y 3BN,-76.51483500,3.49193500
512005,A6ANC35,Av 6AN entre Cl 35 y 29,-76.52785333,3.47302500
512006,A6NC34,Av 6N entre Cl 34 y 35,-76.52657472,3.47238611
512007,A6ANC27,Av 6AN entre Cl 27 y 26,-76.53019667,3.46949833
512008,A6NC21,Av 6N entre Cl 21 y 22,-76.53016000,3.46353000
512009,A3NC47A,Av 3N entre Cl 47A y 47,-76.51617417,3.48025500
512014,A3NC45,Av 3N entre Cl 45 y 44,-76.51716667,3.47866500
512015,C44A3DN,Cl 44 entre Av 3DN y 3EN,-76.51929333,3.47950667
512016,C44A3EN,Cl 44 entre Av 3EN y 3DN,-76.51953278,3.47935861
512017,C70A4N-2,Cl 70 entre Av 4N y 6N 2,-76.52129000,3.49414500
512018,C70A6N,Cl 70 entre Av 6N y 4N,-76.52154000,3.49403333
512019,C70A2N2,C70 Con Av 2N,-76.50377833,3.48846000
512020,A3NC23D,Av 3N con Cl 23D,-76.52370333,3.46625167
512021,A3NC32A,Av 3N entre Cl 32A y 33,-76.52202833,3.47027167
512022,A3NC31,Av 3N entre Cl 31 y 30,-76.52208667,3.47060167
512023,A3NC24,Av 3N entre Cl 24 y 23D,-76.52391500,3.46708333
512024,C21A4N,Cl 21 entre Av 4N y 3N,-76.52774083,3.46100083
512029,C75CNA2A,Cl 75CN entre Av 2 ABis y 2B,-76.50175833,3.49515000
512032,A2AN72BN,Av 2AN entre 72BN y 72AN,-76.50449972,3.49193500
512033,A2ANC71N,Av 2AN entre Cl 71N y 70N,-76.50638333,3.49000833
512034,A3NC59,Av 3N entre Cl 59 y 61AN,-76.51056694,3.48853444
512035,A2NC57AN,Av 2N entre Cl 57AN y 57N,-76.50581750,3.48378361
512037,A6BISC35,Av 6BIS entre Cl 35N y 36N,-76.52735250,3.47305806
512038,C44A3HN,Cl 44 entre Av 3HN y 4N,-76.52156333,3.48061333
512039,C44A4BN,Cl 44 entre Av 4BN y 6N,-76.52343333,3.48122500
512040,A6NC45,Av 6N entre Cl 45 y 47,-76.52563500,3.48406694
512041,A6NC48,Av 6N entre Cl 48 y 49,-76.52561556,3.48729028
512042,C52A5A,Cl 52N entre Av 5A y 5,-76.52312111,3.48853556
512043,C52A4A,Cl 52N entre Av 4A y 4,-76.52084694,3.48770556
512044,C52A3H,Cl 52 entre Av 3H y 3F,-76.51723278,3.48576889
512046,C25A2DN,Cl 25 entre Av 2D y 2C,-76.52240667,3.46375500
512050,C21NA3N,Cl 21N entre Av 3N y 4N,-76.52786194,3.46124889
512054,C34A3CN,Cl 34 entre Av 3CN y 4N,-76.52350972,3.47173917
512055,A2BNC34,Av 2BN entre Cl 34 y 35,-76.52601611,3.47226694
512056,A2BNC35,Av 2BN entre Cl 35 y 34,-76.52618194,3.47228583
512057,A2BNC25,Av 2BN entre Cl 25 y 24,-76.52474694,3.46798972
512061,C73A3N,Cl 73 entre Av 3N y 2CN,-76.50841000,3.49351000
512062,C73A2BN,Cl 73 entre Av 2B3 y 2B2N,-76.50521750,3.49248194
512063,A2BBSN,Av 2BSN entre Cl 73Bis y 74,-76.50352889,3.49322028
512064,C74NA2BN,Cl 74N entre Av 2BN y 2CN,-76.50392333,3.49465667
512069,C18A6N,Cl 18 entre Av 5AN y 6N,-76.53081667,3.46088667
512070,C18NA3N,Cl 18N entre Av 3N y 4N,-76.52973500,3.45908000
512072,A6NC16,Av 6N entre Cl 16 y 18,-76.53129000,3.46047500
512078,C70A2BS,Cl 70 entre Av 2BS y 2N,-76.50621333,3.48929333
512081,A3NC52,Av. 3N entre Cl 52 y 55AN,-76.51309333,3.48449944
512085,A2CNC60,Av. 2CN entre Cl 60 y 59A,-76.50712333,3.48554750
512086,A2DNC57D,Av. 2DN entre Cl 57D y 57A,-76.50815639,3.48468722
512087,A2EC55B,Av. 2E netre Cl 55B y 55A,-76.50901556,3.48405167
512089,C75A2B,Cl 75 entre Av 2B y 2A,-76.50198306,3.49386500
512090,A2NC75AN,Av 2N entre Cl 75N y 75AN,-76.50103472,3.49305778
512091,A2NC75C,Av 2N entre Cl 75CN y 75DN,-76.49986667,3.49447333
512092,A2NC75IN,Av 2N entre Cl 75IN y 75HN,-76.49971167,3.49477278
512093,A2CNC75C,Av 2CN entre Cl 75C y 75,-76.50266972,3.49598472
512100,C44A2D,Cl 44 entre Av 2D y 2E,-76.51573833,3.47686833
512101,A2NA1,Av 2N entre Av 1 y Cl 4,-76.53921250,3.45196750
512103,A4NC10,Av 4N entre Cl 10 y 12 Los Turcos,-76.53536250,3.45518333
512104,A6NC13,Av 6N entre Cl 13 y 15 Sisben,-76.53353667,3.45739000
512105,C34A2CN,Cl 34 entre Av 2CN y 2BN,-76.51984278,3.47000472
512106,A2NC34,Av 2N entre Cl 34 y 35,-76.51772139,3.46990917
512107,A2NC38,Av 2N entre Cl 38 y 38A,-76.51611028,3.47253000
512111,C23DA3,Cl 23D entre Av 3Bis y 3AN,-76.52505083,3.46605639
512112,A2FC25,Av 2F Con Cl 25 Terminal de Transportes,-76.52384000,3.46499667
512115,C34A2B,Cl 34 entre Av 2B y 2F,-76.51969389,3.47016000
512117,A6NC67,Av 6N entre Cl 67 y 49,-76.52566667,3.48804667
512120,A2CNC74,Av 2CN entre Cl 74 y 75,-76.50358278,3.49550583
512121,A2BNC75C,Av 2BN entre Cl 75C y 75,-76.50200750,3.49502556
512122,C74A2B2,Cl 74 entre Av 2B2 y 2B1,-76.50372694,3.49388333
512123,A6NC528,Av 6N entre Cl 52 y 58,-76.52401000,3.49001500
512124,C62AA2N,Cl 62A entre Av 2N y 2B,-76.50532972,3.48625944
512129,A6NC49,Av 6N entre Av 7N y Cl 49 Altos de Menga,-76.52572278,3.48807611
512130,C44A5N,Cl 44 entre Av 5N y 4N,-76.52369417,3.48103556
512131,C44A4N,Cl 44 entre Av 4N y 3G,-76.52137944,3.48010111
512132,C44A2G,Cl 44 entre Av 2G y 2E,-76.51599389,3.47686389
512133,A1NC171,Av 1N entre Cl 17 y 15,-76.53048250,3.45797278
512135,C52A2HN,Cl 52 entre Av 2HN y 2GN,-76.51104361,3.48227667
512140,A6NC52,Av 6N entre Cl 50 y 52,-76.52510000,3.48866833
512144,C55NA2F,Cl 55N entre Av 2F y 2H,-76.51008000,3.48423167
512147,A6ANC223,Av 6AN entre Cl 22 y 23,-76.53020556,3.46414889
512148,A6NC26A,Av 6N entre Cl 26A y 27,-76.52906944,3.46842972
512149,A6NC28,Av 6N entre Cl 28 y 29A,-76.52794833,3.47009167
512150,A6NC37B,Av 6N entre Cl 37B y38,-76.52652278,3.47605639
512151,A6NC44BA,Av 6N entre Cl 44B y 44A,-76.52578778,3.48319833
512152,A6ANC21,Av 6AN entre Cl 22 y 21,-76.53115417,3.46345139
512153,A2GNC57,Avenida 2GN entre Calle 57 y 57A,-76.50964444,3.48592222
512154,A6NC30-2,Av 6N entre Cl 30 y 34,-76.52696333,3.47167833
512177,A5NC23,Av 5N entre Cl 23 y 22,-76.52794861,3.46290722
512178,C21A5AN,Cl 21 entre Av 5AN y 5N,-76.52937667,3.46228167
512179,A3NC17,Av 3N con Cl 17,-76.52962639,3.45777278
512181,A2NC62AN,Av 2N entre Cl 62AN y 62N,-76.50480056,3.48522833
512182,C55A2B,Cl 55 entre Av 2B y 2E,-76.50845778,3.48321444
512183,A2NC24,Av 2N entre Cl 24 y 23A,-76.52438667,3.46240833
512184,A2GNC58,Avenida 2GN entre Calle 58 y 59 Unid Rec,-76.50883889,3.48668472
512185,C61A2GN,Calle 61 entre Avenida 2GN y 2BN Unid Re,-76.50932250,3.48745167
512186,A3NC61A,Avenida 3N entre Calle 61A y 70,-76.51040083,3.48901250
513001,K1C62,Kr 1 entre Cl 62 y 62A,-76.49804833,3.48145000
513003,A1NC71,Av 1N entre Cl 7 y 6,-76.53710333,3.45182667
513004,K1C70AB,Kr 1 entre Cl 70A y 70A Bis,-76.49326722,3.48934556
513005,K1C71A,Kr 1 entre Cl 71 y 71A,-76.49137778,3.49082333
513006,C73K1A3,Cl 73 entre Kr 1A3 y 1A4,-76.48772306,3.48916528
513007,C73K1A4,Cl 73 entre Kr 1A45 y 1A5,-76.48695139,3.48693194
513008,C73K1A8,Cl 73 entre Kr 1A7 y 1A8,-76.48609917,3.48362222
513009,C73K1A13,Cl 73 entre Kr 1A12 y 1A13,-76.48548083,3.48121556
513013,C70K1C1,Cl 70 entre Kr 1C1 y 1C,-76.48782500,3.47767833
513014,C70K1C2,Cl 70 entre Kr 1C1 y 1D,-76.48846278,3.47690778
513015,A6NC381,Av 6N entre Cl 38 y 36,-76.52664333,3.47670833
513016,A6NC372,Av 6N entre Cl 37A y 37BN,-76.52652500,3.47591833
513017,K1DC70,Kr 1D entre Cl 70 y 67,-76.48969500,3.47590278
513018,K1DC63,Kr 1D entre Cl 63 y 62,-76.49239917,3.47503806
513019,K1DC61A,Kr 1D entre Cl 62 y 59,-76.49490333,3.47433833
513020,K1DC58,Kr 1D entre Cl 58 y 59,-76.49689833,3.47370333
513024,K4NC72B,Kr 4N entre Cl 72 y 72Bis,-76.49666389,3.49142389
513025,K4NC72H,Kr 4N entre Cl 72G y 72H,-76.49484333,3.49421500
513026,K4NC77,Kr 4N entre Cl 76 y 77,-76.49349500,3.49663333
513027,K4NC83,Kr 4N entre Cl 82 y 83,-76.49262333,3.49815722
513029,C84K2BN,Cl 84 entre Kr 2AN y 2NBis,-76.48748000,3.49650972
513030,C84K1GN,Cl 84 entre Kr 1GN y 1HN,-76.48544194,3.49466056
513031,K1FNC80,Kr 1FN entre Cl 81 y 80,-76.48767500,3.49389472
513032,K5NC68,Kr 5N entre Cl 68 y 69,-76.50090667,3.48623056
513033,K4ANC70,Kr 4AN entre Cl 70 y 71,-76.49866889,3.48759194
513034,K4NC71G,Kr 4N entre Cl 71F y 71H,-76.49756083,3.49005833
513035,C70K1I,Cl 70 entre Kr 1I y 2,-76.48729500,3.47313333
513037,C52K1D,Cl 52 entre Kr 1D y 1C4,-76.50297139,3.47230611
513038,C52K1B1,Cl 52 entre Kr 1B1 y 1B,-76.50363611,3.47452750
513039,K1C621,Kr 1 entre Cl 62A y 62,-76.49820972,3.48173194
513040,C62K5N1,Cl 62 entre Kr 4AN y 5N,-76.50136611,3.48294500
513041,K4NC841,Kr 4N entre Cl 84 y 83,-76.49230333,3.49886333
513042,K4NC771,Kr 4N entre Cl 78 y 77,-76.49339833,3.49694833
513043,K4NC72K1,Kr 4N entre Cl 72K  y 72J,-76.49434000,3.49521667
513044,K4NC72B1,Kr 4N entre Cl 72D y 72C,-76.49537972,3.49342639
513045,K4NC721,Kr 4N entre Cl 72A y 72,-76.49697833,3.49109167
513046,K4NC71D1,Kr 4N entre Cl 71E y 71D,-76.49807833,3.48947167
513047,K4NC70,Kr 4N entre Cl 71 y 70,-76.49931250,3.48769056
513048,C70K3BN,Cl 70 entre Kr 3BN y 3CN,-76.49735333,3.48694833
513049,C70K4N2,Cl 70 entre Kr 4N y 1,-76.49718667,3.48626000
513050,K1C661,Kr 1 entre Cl 70 y 66,-76.49619333,3.48487333
513051,C71IK3C2,Cl 71I entre Kr 3C y 3B,-76.49588000,3.48970167
513052,K3NC71I1,Kr 3N entre Cl 71I y 72,-76.49378500,3.48961833
513053,K3NC72E2,Kr 3N entre Cl 72C y 72D,-76.49226500,3.49180500
513054,K3NC732,Kr 3N entre Cl 74 y 75,-76.49089333,3.49455833
513055,K3NC842,Kr 3N entre Cl 83A y 84,-76.48960000,3.49700167
513057,C62K4A2,Cl 62 entre Kr 4A y 4,-76.50041333,3.48221167
513058,K1C66N2,Kr 1 entre Cl 62A y 66,-76.49632000,3.48375000
513059,C66K1A,Cl 66 entre Kr 1A y 1A6,-76.49411028,3.48194389
513062,C70K1A12,Cl 70 entre Kr 1A12 y 1A11,-76.48889833,3.48113667
513063,C70K1A10,Cl 70 entre Kr 1A10 y 1A11,-76.48979000,3.48113500
513065,C71K1A51,Cl 71 entre Kr 1A5-1 y 1A4,-76.48925806,3.48602333
513066,C71K1A3,Cl 71 entres Kr 1A4 y 1A3,-76.49028278,3.48784944
513068,C71K1A1A,Cl 71 entre Kr 1A1A y 1A1,-76.49106667,3.48936500
513069,K1C73,Kr 1 entre Cl 73 y 73B,-76.48813806,3.49163417
513070,K1C74B,Kr 1 entre Cl 74B y 73B,-76.48683444,3.49210944
513071,K1C73B,Kr 1 entre Cl 73B y 73,-76.48917778,3.49177194
513073,K5NC58N,Kr 5N entre Cl 58N y 59N,-76.50301694,3.48175667
513074,K1C71Y72,Kr 1 entre Cl 71 y 72,-76.49119500,3.49091000
513075,K1C72,Kr 1 entre Cl 72 y 71,-76.49154667,3.49102306
513076,K1C711,Kr 1 entre Cl 71 y 70A,-76.49364167,3.48924611
513077,K3C58,Kr 3 entre Cl 58 y 59,-76.49537667,3.46729667
513078,K3C59D,Kr 3 entre Cl 59D y 60,-76.49298833,3.46804667
513079,K3C63,Kr 3 entre Cl 63 y 63B,-76.49048333,3.46884833
513080,K3C65B,Kr 3 entre Cl 65B y 69,-76.48802000,3.46961833
513081,C70K31,Cl 70 entre Kr 3 y 4C,-76.48600667,3.46914833
513082,K5C70,Kr 5 entre Cl 70 y69,-76.48641667,3.46712667
513083,K5C65A,Kr 5 entre Cl 65A y 64B,-76.48843333,3.46653667
513084,K5C62B,Kr 5 entre Cl 62B y 62,-76.49019167,3.46599333
513085,C62K4C,Cl 62 entre Kr 4C y 4B,-76.49112500,3.46750667
513089,C56K1B,Cl 56 entre Kr 1B y 1C,-76.50047667,3.47561306
513092,K2C53,Kr 2 entre Cl 53 y 52B,-76.50056500,3.46866167
513093,C52K2B2,Cl 52 entre Kr 2B2 y 2E,-76.50157333,3.46607667
513094,K3C52,Kr 3 entre Cl 52 y 53,-76.49974806,3.46584750
513095,K3C56,Kr 3 entre Cl 56 y 57,-76.49755333,3.46666000
513096,K3C60,Kr 3 entre Cl 60 y 59D,-76.49312167,3.46824500
513097,K3C59,Kr 3 entre Cl 59 y 58,-76.49558333,3.46748667
513098,K3C57,Kr 3 entre Cl 57 y 58,-76.49764667,3.46681333
513099,K3C54,Kr 3 entre Cl 54 y 53,-76.49932000,3.46623667
513100,C52K3,Cl 52 entre Kr 3 y 2,-76.50126167,3.46604833
513101,C52K2,Cl 52 entre Kr 3 y 2,-76.50164583,3.46738861
513102,C52K1E,Cl 52 entre Kr 1E y 1D2,-76.50234000,3.47000667
513103,C70K7,Cl 70 entre Kr 7 y 5,-76.48452167,3.46723167
513104,C70K5,Cl 70 entre Kr 5 y 7,-76.48526833,3.46683833
513105,C70K4,Cl 70 entre Kr 4 y 3D,-76.48518500,3.46931833
513106,C70K3,Cl 70 entre Kr 3 y 4C,-76.48598500,3.46907833
513107,C70K2-1,Cl 70 entre Kr 2 y 1J,-76.48645167,3.47335667
513110,C70K1A14,Cl 70 entre Kr 1A14 y 1B,-76.48910167,3.47897833
513111,C70K1A51,Cl 70 entre Kr 1A6 y A5,-76.49050167,3.48438167
513112,C70K1A6,Cl 70 entre Kr 1 y 1A6,-76.49101333,3.48390667
513113,C70K1,Cl 70 con Kr 1,-76.49496000,3.48625000
513114,C70K11,Cl 70 con Kr 1 1,-76.49535000,3.48577889
513118,K5C28,Kr 5 entre Cl 28 y 29,-76.51757500,3.45758500
513119,K5C32,Kr 5 entre Cl 32 y 33,-76.51430500,3.45848500
513120,K5C35,Kr 5 entre Cl 35 y 34,-76.51305667,3.45899000
513121,K5C34,Kr 5 entre Cl 34 y 35,-76.51286167,3.45896000
513122,K5C38,Kr 5 entre Cl 38 y 36A,-76.51086500,3.45972500
513123,K5C37,Kr 5 entre Cl 37 y 38,-76.51056000,3.45968000
513124,K5C44,Kr 5 entre Cl 44 y 43,-76.50768000,3.46075333
513127,K5C46,Kr 5 entre Cl 46 y 47,-76.50351778,3.46183333
513128,C52K5,Cl 52 entre Kr 5 y 4C,-76.50062722,3.46328250
513129,K2C52,Kr 2 entre Cl 52 y 56,-76.50060500,3.46848000
513130,K2C571,Kr 2 entre Cl 57 y 56,-76.49829167,3.46936333
513131,K2C572,Kr 2 entre Cl 57 y 58,-76.49764833,3.46934667
513132,K2C60,Kr 2 entre Cl 60 y 59B,-76.49521167,3.47035333
513133,K2C592,Kr 2 entre Cl 59A y 60,-76.49534500,3.47009000
513134,K2C621,Kr 2 entre Cl 62 y 60,-76.49318167,3.47096000
513135,K2C61A2,Kr 2 entre Cl 61A y 62,-76.49293667,3.47086333
513136,K2C641,Kr 2 entre Cl 64 y 62,-76.49108500,3.47155000
513137,K2C64,Kr 2 entre Cl 62 y 65,-76.49057833,3.47160167
513138,K2C671,Kr 2 entre Cl 67 y 66,-76.48938667,3.47209500
513139,K2C65,Kr 2 entre Cl 65 y 67,-76.48882167,3.47212500
513140,C70K2-2,Cl 70 entre Kr 2 y 2A,-76.48701694,3.47225139
513141,C73K7,Cl 73 entre Kr 7 y 2F,-76.48021444,3.46896917
