Hora,Hora_mat,Veh_ida,Veh_regreso
05:00,18000,E21_1,E21_12
05:05,18318,E21_2,E21_13
05:10,18636,E21_3,E21_14
05:15,18954,E21_4,E21_15
05:21,19272,E21_5,E21_16
05:26,19590,E21_6,E21_17
05:31,19908,E21_7,E21_18
05:37,20226,E21_8,E21_19
05:42,20544,E21_9,E21_20
05:47,20862,E21_10,E21_21
05:53,21180,E21_11,E21_1
05:58,21498,E21_12,E21_2
06:01,21711,E21_13,E21_3
06:05,21924,E21_14,E21_4
06:08,22137,E21_15,E21_5
06:12,22350,E21_16,E21_6
06:16,22563,E21_17,E21_7
06:19,22776,E21_18,E21_8
06:23,22989,E21_19,E21_9
06:26,23202,E21_20,E21_10
06:30,23415,E21_21,E21_11
06:33,23628,E21_22,E21_12
06:37,23841,E21_23,E21_13
06:40,24054,E21_24,E21_14
06:44,24267,E21_25,E21_15
06:48,24480,E21_26,E21_16
06:51,24693,E21_27,E21_17
06:55,24906,E21_28,E21_18
06:58,25119,E21_29,E21_19
07:02,25332,E21_30,E21_20
07:05,25545,E21_31,E21_21
07:09,25758,E21_1,E21_21
07:12,25971,E21_1,E21_1
07:16,26184,E21_2,E21_2
07:19,26397,E21_3,E21_3
07:23,26610,E21_4,E21_4
07:27,26823,E21_5,E21_5
07:30,27036,E21_6,E21_6
07:34,27249,E21_7,E21_7
07:37,27462,E21_8,E21_8
07:41,27675,E21_9,E21_9
07:44,27888,E21_10,E21_10
07:48,28101,E21_11,E21_11
07:51,28314,E21_12,E21_12
07:55,28527,E21_13,E21_13
07:59,28740,E21_14,E21_14
08:04,29070,E21_15,E21_15
08:10,29400,E21_16,E21_16
08:15,29730,E21_17,E21_17
08:21,30060,E21_18,E21_18
08:26,30390,E21_19,E21_19
08:32,30720,E21_20,E21_20
08:37,31050,E21_21,E21_21
08:43,31380,E21_22,E21_21
08:48,31710,E21_23,E21_1
08:54,32040,E21_24,E21_2
08:59,32370,E21_25,E21_3
09:06,32772,E21_26,E21_4
09:12,33174,E21_27,E21_5
09:19,33576,E21_28,E21_6
09:26,33978,E21_29,E21_7
09:33,34380,E21_30,E21_8
09:39,34782,E21_31,E21_9
09:46,35184,E21_1,E21_10
09:53,35586,E21_1,E21_11
09:59,35988,E21_2,E21_12
10:06,36390,E21_3,E21_13
10:13,36792,E21_4,E21_14
10:19,37194,E21_5,E21_15
10:26,37596,E21_6,E21_16
10:33,37998,E21_7,E21_17
10:40,38400,E21_8,E21_18
10:46,38802,E21_9,E21_19
10:53,39204,E21_10,E21_20
11:00,39606,E21_11,E21_21
11:06,40008,E21_12,E21_21
11:13,40410,E21_13,E21_1
11:20,40812,E21_14,E21_2
11:26,41214,E21_15,E21_3
11:33,41616,E21_16,E21_4
11:40,42018,E21_17,E21_5
11:47,42420,E21_18,E21_6
11:53,42822,E21_19,E21_7
12:00,43224,E21_20,E21_8
12:07,43626,E21_21,E21_9
12:13,44028,E21_22,E21_10
12:20,44430,E21_23,E21_11
12:27,44832,E21_24,E21_12
12:33,45234,E21_25,E21_13
12:40,45636,E21_26,E21_14
12:47,46038,E21_27,E21_15
12:54,46440,E21_28,E21_16
13:00,46842,E21_29,E21_17
13:07,47244,E21_30,E21_18
13:14,47646,E21_31,E21_19
13:20,48048,E21_1,E21_20
13:27,48450,E21_1,E21_21
13:34,48852,E21_2,E21_21
13:40,49254,E21_3,E21_1
13:47,49656,E21_4,E21_2
