ID,LINEA,SENTIDO,PUNTO_INI,INI_LONGITUDE,INI_LATITUDE,PUNTO_FIN,FIN_LONGITUDE,FIN_LATITUDE,CONCAT_SHT,LENGTH
2078,A37A,Ida,K5C70,-76.48641667,3.46712667,K5C65A,-76.48843333,3.46653667,K5C70-K5C65A,233
2079,A37A,Ida,K5C65A,-76.48843333,3.46653667,K5C62B,-76.49019167,3.46599333,K5C65A-K5C62B,204
2080,A37A,Ida,K5C62B,-76.49019167,3.46599333,K5C62,-76.49244833,3.46526167,K5C62B-K5C62,263
2081,A37A,Ida,K5C62,-76.49244833,3.46526167,K5C59,-76.49504833,3.46448861,K5C62-K5C59,301
2082,A37A,Ida,K5C59,-76.49504833,3.46448861,K5C55,-76.49814806,3.46355389,K5C59-K5C55,359
2083,A37A,Ida,K5C55,-76.49814806,3.46355389,C52K5,-76.50062722,3.4632825,K5C55-C52K5,312
2084,A37A,Ida,C52K5,-76.50062722,3.4632825,C52K3,-76.50126167,3.46604833,C52K5-C52K3,308
2085,A37A,Ida,C52K3,-76.50126167,3.46604833,C52K2,-76.50164583,3.46738861,C52K3-C52K2,157
2086,A37A,Ida,C52K2,-76.50164583,3.46738861,K2C49,-76.50391139,3.46759222,C52K2-K2C49,381
2087,A37A,Ida,K2C49,-76.50391139,3.46759222,C47K1D,-76.5050225,3.47072028,K2C49-C47K1D,386
2088,A37A,Ida,C47K1D,-76.5050225,3.47072028,K1C47Y50,-76.5065525,3.47363528,C47K1D-K1C47Y50,451
2092,A41A,Ida,A.SANI16,-76.48275778,3.44350417,K25C73A,-76.47981167,3.44084333,A.SANI16-K25C73A,515
2093,A41A,Ida,K25C73A,-76.47981167,3.44084333,K25C77,-76.47706667,3.43894667,K25C73A-K25C77,366
2094,A41A,Ida,K25C77,-76.47706667,3.43894667,K29C80,-76.47521222,3.43755,K25C77-K29C80,258
2095,A41A,Ida,K29C80,-76.47521222,3.43755,C80K25,-76.47348667,3.43776,K29C80-C80K25,344
2096,A41A,Ida,C80K25,-76.47348667,3.43776,K23C81B,-76.471735,3.437495,C80K25-K23C81B,245
2097,A41A,Ida,K23C81B,-76.471735,3.437495,K23C83B,-76.469895,3.436665,K23C81B-K23C83B,227
2098,A41A,Ida,K23C83B,-76.469895,3.436665,K23C85A,-76.46804833,3.43583333,K23C83B-K23C85A,226
2099,A41A,Ida,K23C85A,-76.46804833,3.43583333,K23C96,-76.46666972,3.43507639,K23C85A-K23C96,212
2100,A41A,Ida,K23C96,-76.46666972,3.43507639,K23C102B,-76.46482139,3.43165444,K23C96-K23C102B,403
2101,A41A,Ida,K23C102B,-76.46482139,3.43165444,K23C118,-76.46365667,3.42867667,K23C102B-K23C118,355
2102,A41A,Ida,K23C118,-76.46365667,3.42867667,C123K23,-76.46346,3.42564333,K23C118-C123K23,341
2103,A41A,Ida,C123K23,-76.46346,3.42564333,C123K26A,-76.46405,3.42222333,C123K23-C123K26A,385
2104,A41A,Ida,C123K26A,-76.46405,3.42222333,C123K26H,-76.46568167,3.41910167,C123K26A-C123K26H,382
2105,A41A,Ida,C123K26H,-76.46568167,3.41910167,C123K26J,-76.46687389,3.41681028,C123K26H-C123K26J,274
2106,A41A,Ida,C123K26J,-76.46687389,3.41681028,C123K26R,-76.46830333,3.41420667,C123K26J-C123K26R,330
2107,A41A,Ida,C123K26R,-76.46830333,3.41420667,C123K27C,-76.46967167,3.41193944,C123K26R-C123K27C,294
2108,A41A,Ida,C123K27C,-76.46967167,3.41193944,C123K28B,-76.469975,3.40947333,C123K27C-C123K28B,274
2109,A41A,Ida,C123K28B,-76.469975,3.40947333,C123K28D,-76.47033056,3.40711806,C123K28B-C123K28D,271
2110,A41A,Ida,C123K28D,-76.47033056,3.40711806,C123K281,-76.47153944,3.40506778,C123K28D-C123K281,264
2111,A41A,Ida,C123K281,-76.47153944,3.40506778,K28DC122,-76.4724075,3.40370667,C123K281-K28DC122,179
2112,A41A,Ida,K28DC122,-76.4724075,3.40370667,K28FC122,-76.47383361,3.40358417,K28DC122-K28FC122,244
2113,A41A,Ida,K28FC122,-76.47383361,3.40358417,K28FC12F,-76.47401361,3.403545,K28FC122-K28FC12F,151
2114,A41A,Vuelta,K28FC12F,-76.47401361,3.403545,K28D9C12,-76.47225889,3.40376194,K28FC12F-K28D9C12,305
2115,A41A,Vuelta,K28D9C12,-76.47225889,3.40376194,C12328D7,-76.47124167,3.40531278,K28D9C12-C12328D7,206
2116,A41A,Vuelta,C12328D7,-76.47124167,3.40531278,C12328D3,-76.47021056,3.4070475,C12328D7-C12328D3,224
2117,A41A,Vuelta,C12328D3,-76.47021056,3.4070475,C123K28A,-76.46990389,3.40965528,C12328D3-C123K28A,295
2118,A41A,Vuelta,C123K28A,-76.46990389,3.40965528,C123K27B,-76.469465,3.41196306,C123K28A-C123K27B,266
2119,A41A,Vuelta,C123K27B,-76.469465,3.41196306,C123K26S,-76.46892333,3.4129575,C123K27B-C123K26S,125
2120,A41A,Vuelta,C123K26S,-76.46892333,3.4129575,C123K26M,-76.467785,3.41507333,C123K26S-C123K26M,267
2121,A41A,Vuelta,C123K26M,-76.467785,3.41507333,C123K262,-76.46657167,3.417125,C123K26M-C123K262,254
2122,A41A,Vuelta,C123K262,-76.46657167,3.417125,C123K26,-76.46496333,3.42023778,C123K262-C123K26,389
2123,A41A,Vuelta,C123K26,-76.46496333,3.42023778,C123K26B,-76.46366833,3.422895,C123K26-C123K26B,329
2124,A41A,Vuelta,C123K26B,-76.46366833,3.422895,K23C120Q,-76.46335667,3.42569333,C123K26B-K23C120Q,313
2125,A41A,Vuelta,K23C120Q,-76.46335667,3.42569333,K23C120C,-76.46325833,3.42784833,K23C120Q-K23C120C,237
2126,A41A,Vuelta,K23C120C,-76.46325833,3.42784833,K23C114,-76.46386806,3.42948694,K23C120C-K23C114,253
2127,A41A,Vuelta,K23C114,-76.46386806,3.42948694,K23C1022,-76.46486667,3.432095,K23C114-K23C1022,255
2128,A41A,Vuelta,K23C1022,-76.46486667,3.432095,K23C98A,-76.46597667,3.43483,K23C1022-K23C98A,322
2129,A41A,Vuelta,K23C98A,-76.46597667,3.43483,K23C87,-76.46822,3.43593333,K23C98A-K23C87,293
2130,A41A,Vuelta,K23C87,-76.46822,3.43593333,K23C84,-76.46969,3.43662,K23C87-K23C84,177
2131,A41A,Vuelta,K23C84,-76.46969,3.43662,K23C83,-76.47178667,3.43765167,K23C84-K23C83,250
2132,A41A,Vuelta,K23C83,-76.47178667,3.43765167,C80K23,-76.47350833,3.43790333,K23C83-C80K23,234
2133,A41A,Vuelta,C80K23,-76.47350833,3.43790333,K25C79,-76.475065,3.43762833,C80K23-K25C79,268
2134,A41A,Vuelta,K25C79,-76.475065,3.43762833,K25C771,-76.47711667,3.43913,K25C79-K25C771,277
2135,A41A,Vuelta,K25C771,-76.47711667,3.43913,K25C74,-76.47908833,3.44060333,K25C771-K25C74,271
2136,A41A,Vuelta,K25C74,-76.47908833,3.44060333,A.SANI16,-76.48275778,3.44350417,K25C74-A.SANI16,858
2140,A41B,Ida,K26JC121,-76.46787056,3.41813944,C123K26,-76.46496333,3.42023778,K26JC121-C123K26,535
2141,A41B,Ida,C123K26,-76.46496333,3.42023778,C123K26B,-76.46366833,3.422895,C123K26-C123K26B,329
2142,A41B,Ida,C123K26B,-76.46366833,3.422895,K23C120Q,-76.46335667,3.42569333,C123K26B-K23C120Q,313
2143,A41B,Ida,K23C120Q,-76.46335667,3.42569333,K23C120C,-76.46325833,3.42784833,K23C120Q-K23C120C,237
2144,A41B,Ida,K23C120C,-76.46325833,3.42784833,K23C114,-76.46386806,3.42948694,K23C120C-K23C114,253
2145,A41B,Ida,K23C114,-76.46386806,3.42948694,K23C1022,-76.46486667,3.432095,K23C114-K23C1022,255
2146,A41B,Ida,K23C1022,-76.46486667,3.432095,K23C98A,-76.46597667,3.43483,K23C1022-K23C98A,322
2147,A41B,Ida,K23C98A,-76.46597667,3.43483,K23C87,-76.46822,3.43593333,K23C98A-K23C87,293
2148,A41B,Ida,K23C87,-76.46822,3.43593333,K23C84,-76.46969,3.43662,K23C87-K23C84,177
2149,A41B,Ida,K23C84,-76.46969,3.43662,K23C83,-76.47178667,3.43765167,K23C84-K23C83,250
2150,A41B,Ida,K23C83,-76.47178667,3.43765167,C80K23,-76.47350833,3.43790333,K23C83-C80K23,234
2151,A41B,Ida,C80K23,-76.47350833,3.43790333,K25C79,-76.475065,3.43762833,C80K23-K25C79,268
2152,A41B,Ida,K25C79,-76.475065,3.43762833,K25C771,-76.47711667,3.43913,K25C79-K25C771,277
2153,A41B,Ida,K25C771,-76.47711667,3.43913,K25C74,-76.47908833,3.44060333,K25C771-K25C74,271
2154,A41B,Ida,K25C74,-76.47908833,3.44060333,A.SANI16,-76.48275778,3.44350417,K25C74-A.SANI16,858
2155,A41B,Vuelta,A.SANI16,-76.48275778,3.44350417,K25C73A,-76.47981167,3.44084333,A.SANI16-K25C73A,515
2156,A41B,Vuelta,K25C73A,-76.47981167,3.44084333,K25C77,-76.47706667,3.43894667,K25C73A-K25C77,366
2157,A41B,Vuelta,K25C77,-76.47706667,3.43894667,K29C80,-76.47521222,3.43755,K25C77-K29C80,258
2158,A41B,Vuelta,K29C80,-76.47521222,3.43755,C80K25,-76.47348667,3.43776,K29C80-C80K25,344
2159,A41B,Vuelta,C80K25,-76.47348667,3.43776,K23C81B,-76.471735,3.437495,C80K25-K23C81B,245
2160,A41B,Vuelta,K23C81B,-76.471735,3.437495,K23C83B,-76.469895,3.436665,K23C81B-K23C83B,227
2161,A41B,Vuelta,K23C83B,-76.469895,3.436665,K23C85A,-76.46804833,3.43583333,K23C83B-K23C85A,226
2162,A41B,Vuelta,K23C85A,-76.46804833,3.43583333,K23C96,-76.46666972,3.43507639,K23C85A-K23C96,212
2163,A41B,Vuelta,K23C96,-76.46666972,3.43507639,K23C102B,-76.46482139,3.43165444,K23C96-K23C102B,403
2164,A41B,Vuelta,K23C102B,-76.46482139,3.43165444,K23C118,-76.46365667,3.42867667,K23C102B-K23C118,355
2165,A41B,Vuelta,K23C118,-76.46365667,3.42867667,C123K23,-76.46346,3.42564333,K23C118-C123K23,341
2166,A41B,Vuelta,C123K23,-76.46346,3.42564333,C123K26A,-76.46405,3.42222333,C123K23-C123K26A,385
2167,A41B,Vuelta,C123K26A,-76.46405,3.42222333,C123K26H,-76.46568167,3.41910167,C123K26A-C123K26H,382
2168,A41B,Vuelta,C123K26H,-76.46568167,3.41910167,K26JC122,-76.46686167,3.41785833,C123K26H-K26JC122,231
2169,A41B,Vuelta,K26JC122,-76.46686167,3.41785833,K26JC121,-76.46787056,3.41813944,K26JC122-K26JC121,300
2173,A42A,Ida,A.SANI17,-76.48255917,3.44351,T103K26A,-76.48116917,3.43948194,A.SANI17-T103K26A,626
2174,A42A,Ida,T103K26A,-76.48116917,3.43948194,T103C56B,-76.48068944,3.43800583,T103K26A-T103C56B,277
2175,A42A,Ida,T103C56B,-76.48068944,3.43800583,T103C76,-76.47991083,3.43579639,T103C56B-T103C76,253
2176,A42A,Ida,T103C76,-76.47991083,3.43579639,T103C79,-76.47878889,3.43242333,T103C76-T103C79,376
2177,A42A,Ida,T103C79,-76.47878889,3.43242333,T103D26I,-76.47753167,3.42898167,T103C79-T103D26I,400
2178,A42A,Ida,T103D26I,-76.47753167,3.42898167,T103D26O,-76.47734417,3.42623722,T103D26I-T103D26O,316
2179,A42A,Ida,T103D26O,-76.47734417,3.42623722,T103D26P,-76.47764667,3.42476667,T103D26O-T103D26P,155
