pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	19	9	0	0	3	9	0	8	2	1	142
h---pt interaction	164874	15323	69	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	12	3	0	0	0	2	0	1	0	1	1
pt interaction---h	119717	1014	25	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24462	35162	27086	25929	20853	6922	1508	1081	879	702	863	886	26853
pt interaction---w	37429	4563	21	0	0	0	0	0	0	0	0	0	0
w---h	3874	153	8	7	0	1	0	1	1	4	0	1	46
w---pt interaction	39378	2391	160	0	0	0	0	0	0	0	0	0	0
w---w	799	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 995.8121915535551 seconds = 00:16:35
