time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_pt	arrivals_pt	stuck_pt	en-route_pt	departures_transit_walk	arrivals_transit_walk	stuck_transit_walk	en-route_transit_walk
00:00:00	0	0	0	0	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0	0	0	0	0
01:25:00	5100	1	0	0	1	0	0	0	0	1	0	0	1
01:30:00	5400	3	1	0	3	0	0	0	0	3	1	0	3
01:35:00	5700	0	0	0	3	0	0	0	0	0	0	0	3
01:40:00	6000	3	4	0	2	0	0	0	0	3	4	0	2
01:45:00	6300	8	4	0	6	3	0	0	3	5	4	0	3
01:50:00	6600	0	0	0	6	0	0	0	3	0	0	0	3
01:55:00	6900	2	2	0	6	0	0	0	3	2	2	0	3
02:00:00	7200	0	1	0	5	0	0	0	3	0	1	0	2
02:05:00	7500	2	2	0	5	0	0	0	3	2	2	0	2
02:10:00	7800	3	2	0	6	0	0	0	3	3	2	0	3
02:15:00	8100	2	1	0	7	1	0	0	4	1	1	0	3
02:20:00	8400	3	2	0	8	1	0	0	5	2	2	0	3
02:25:00	8700	1	0	0	9	0	0	0	5	1	0	0	4
02:30:00	9000	3	3	0	9	1	0	0	6	2	3	0	3
02:35:00	9300	4	3	0	10	0	0	0	6	4	3	0	4
02:40:00	9600	5	4	0	11	2	0	0	8	3	4	0	3
02:45:00	9900	14	8	0	17	3	0	0	11	11	8	0	6
02:50:00	10200	12	8	0	21	5	0	0	16	7	8	0	5
02:55:00	10500	11	7	0	25	5	0	0	21	6	7	0	4
03:00:00	10800	12	7	0	30	5	0	0	26	7	7	0	4
03:05:00	11100	6	2	0	34	1	0	0	27	5	2	0	7
03:10:00	11400	11	7	0	38	6	0	0	33	5	7	0	5
03:15:00	11700	16	8	0	46	7	0	0	40	9	8	0	6
03:20:00	12000	19	15	0	50	7	0	0	47	12	15	0	3
03:25:00	12300	20	10	0	60	8	0	0	55	12	10	0	5
