id,entering,leaving,passthrough,totalVolume
38,105,0,0,105
37,54,2,103,156
36,29,10,146,176
35,28,9,166,194
34,50,16,178,227
33,79,18,209,288
30,27,15,273,300
26,632,99,201,833
29,370,301,532,902
28,302,267,635,937
27,12,8,929,941
14,153,361,580,733
13,212,121,612,824
12,142,173,651,793
11,147,123,670,817
10,48,139,678,726
9,82,107,620,702
40,58,84,617,675
8,34,60,615,650
7,41,77,573,614
6,42,147,467,509
5,52,74,435,487
4,63,56,432,495
3,28,115,380,408
2,15,117,292,307
1,14,87,220,234
39,0,234,0,0
