id,entering,leaving,passthrough,totalVolume
38,282,0,0,282
37,144,56,226,370
36,69,46,324,393
35,61,26,368,428
34,62,46,382,445
33,74,49,396,470
30,8,32,438,446
26,763,61,385,1148
29,39,446,702,741
28,47,265,476,523
27,19,7,516,535
14,263,77,459,721
13,277,221,500,777
12,156,234,543,699
11,115,159,541,656
10,15,73,583,597
9,55,165,432,487
40,74,47,440,514
8,41,79,435,476
7,36,44,432,467
6,98,107,360,458
5,99,49,409,508
4,82,47,461,543
3,55,48,495,550
2,7,119,431,438
1,9,205,233,242
39,0,242,0,0
