id,entering,leaving,passthrough,totalVolume
39,228,0,0,228
1,87,13,215,302
2,64,78,224,288
3,53,38,250,303
4,35,37,266,301
5,45,52,249,294
6,132,46,249,381
7,66,74,306,372
8,63,29,343,406
40,89,50,356,444
9,99,86,358,457
10,103,81,376,479
11,36,53,426,463
12,157,132,331,488
13,173,147,341,514
14,459,105,409,868
15,29,187,680,709
23,13,17,692,705
24,108,59,646,755
25,496,395,360,856
26,78,392,464,542
31,14,17,525,539
32,26,12,527,553
33,30,79,474,504
34,22,45,459,482
35,7,46,436,443
36,4,53,390,394
37,3,144,250,253
38,0,253,0,0
