id,entering,leaving,passthrough,totalVolume
56,314,0,0,314
47,273,0,314,587
46,133,13,574,707
45,165,3,704,869
44,453,22,847,1300
43,285,26,1274,1559
26,229,654,905,1134
42,383,94,1040,1423
14,403,269,1154,1557
11,232,205,1352,1584
10,198,188,1396,1594
40,92,186,1408,1501
8,0,0,1501,1501
7,66,257,1243,1310
6,0,0,1310,1310
5,65,366,943,1008
4,77,140,868,945
3,30,338,606,636
2,64,129,508,572
39,0,572,0,0
