id,entering,leaving,passthrough,totalVolume
39,142,0,0,142
1,29,26,116,145
2,47,17,128,175
3,153,15,160,313
4,52,39,274,326
5,63,27,300,363
6,318,67,296,614
7,55,193,421,476
8,90,39,436,527
40,127,52,475,602
9,117,116,487,603
10,159,106,498,656
11,22,75,581,603
12,160,199,404,564
13,143,225,339,482
14,761,134,349,1109
15,18,138,971,989
23,19,16,973,992
24,64,74,918,982
25,46,748,234,280
26,135,113,166,301
31,11,46,255,266
32,6,53,213,219
33,4,80,140,144
34,19,57,87,105
35,14,28,77,92
36,7,29,63,69
37,3,24,45,48
38,0,48,0,0
