pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	15	6	0	0	1	0	0	1	0	0	18
h---pt interaction	165019	15360	54	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	10	2	0	0	0	0	0	0	0	0	0
pt interaction---h	118656	1003	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24023	33871	27137	25513	20375	7408	1513	1181	1068	1038	839	738	27278
pt interaction---w	37362	4555	20	0	0	0	0	0	0	0	0	0	0
w---h	3860	151	8	6	0	0	0	0	1	0	0	0	7
w---pt interaction	39366	2390	154	0	0	0	0	0	0	0	0	0	0
w---w	802	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 987.8540687221325 seconds = 00:16:27
