pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	23	10	0	1	4	5	0	10	1	1	210
h---pt interaction	164807	15308	73	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	11	3	0	0	0	2	1	2	0	0	3
pt interaction---h	120112	1026	27	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24848	34828	27240	26343	20758	7120	1273	1103	942	986	1162	1224	25840
pt interaction---w	37453	4571	18	0	0	0	0	0	0	0	0	0	0
w---h	3881	151	10	6	0	1	2	1	3	2	1	0	44
w---pt interaction	39405	2385	160	0	0	0	0	0	0	0	0	0	0
w---w	806	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 1003.5081950028042 seconds = 00:16:43
