pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44611	1042	51	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	15	4	0	0	0	2	1	2	1	0	1
pt interaction---h	43840	1472	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17259	37370	30345	16189	5896	1442	305	272	249	129	74	46	234
pt interaction---w	50066	5351	25	0	0	0	0	0	0	0	0	0	0
w---h	13646	202	18	6	2	1	1	0	4	4	5	1	47
w---pt interaction	52102	2999	182	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.9565797686186 seconds = 00:04:08
