pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44621	1048	43	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	3
pt interaction---h	43931	1454	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17226	37050	30533	16387	6074	1487	368	296	248	131	64	37	162
pt interaction---w	50110	5327	26	0	0	0	0	0	0	0	0	0	0
w---h	13648	202	19	6	1	0	1	0	2	0	1	1	21
w---pt interaction	52169	2990	174	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.2647675302226 seconds = 00:04:08
