pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	18	7	0	0	2	8	1	5	2	1	108
h---pt interaction	164921	15327	59	0	0	0	0	0	0	0	0	0	0
h---w	3870	123	11	3	0	0	0	1	1	1	0	0	0
pt interaction---h	119424	1011	22	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24493	34849	27291	25735	20643	6806	1308	1276	1035	752	638	708	27313
pt interaction---w	37396	4571	19	0	0	0	0	0	0	0	0	0	0
w---h	3872	152	7	6	0	1	0	0	2	3	0	1	32
w---pt interaction	39368	2393	157	0	0	0	0	0	0	0	0	0	0
w---w	800	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 993.7120168771048 seconds = 00:16:33
