pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44623	1048	41	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	0	0	0	2
pt interaction---h	43947	1449	31	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17220	36862	30624	16458	6078	1546	368	284	264	124	71	41	152
pt interaction---w	50121	5326	25	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	18	6	1	0	1	0	2	0	0	0	20
w---pt interaction	52184	2988	173	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.39953244367754 seconds = 00:04:08
