pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	24	9	0	1	4	9	0	8	2	1	185
h---pt interaction	164819	15310	83	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	11	3	0	0	0	2	1	1	0	1	2
pt interaction---h	119961	1021	27	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24767	34881	27373	26102	20914	7034	1421	1038	755	840	1143	1183	25994
pt interaction---w	37404	4573	20	0	0	0	0	0	0	0	0	0	0
w---h	3876	151	8	6	0	1	1	1	3	5	1	0	41
w---pt interaction	39369	2389	156	0	0	0	0	0	0	0	0	0	0
w---w	804	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 997.7900289040083 seconds = 00:16:37
