pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	16	7	0	0	2	6	1	2	4	1	74
h---pt interaction	164941	15355	60	0	0	0	0	0	0	0	0	0	0
h---w	3870	123	10	3	0	0	0	0	0	1	0	0	0
pt interaction---h	119194	1009	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24380	34577	27326	25561	20694	7238	1477	1139	980	817	660	676	27052
pt interaction---w	37384	4565	20	0	0	0	0	0	0	0	0	0	0
w---h	3863	154	8	6	0	1	0	0	1	2	0	0	20
w---pt interaction	39369	2401	150	0	0	0	0	0	0	0	0	0	0
w---w	802	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 983.3336981265762 seconds = 00:16:23
