pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	22	8	0	1	5	12	0	8	3	1	159
h---pt interaction	164853	15313	74	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	12	3	0	0	0	2	1	1	0	1	1
pt interaction---h	119816	1013	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24792	34956	27191	25987	20962	7020	1408	1055	756	791	943	1012	26443
pt interaction---w	37422	4568	20	0	0	0	0	0	0	0	0	0	0
w---h	3867	153	8	6	0	1	0	1	2	4	1	0	52
w---pt interaction	39370	2402	156	0	0	0	0	0	0	0	0	0	0
w---w	799	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 997.332847009018 seconds = 00:16:37
