pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	24	14	2	5	8	14	3	15	2	0	397
h---pt interaction	164673	15199	82	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	14	2	0	1	0	1	3	1	0	0	3
pt interaction---h	121195	1033	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	25644	34502	27503	26917	21034	6842	1551	1142	1046	1013	825	516	26394
pt interaction---w	37421	4590	18	0	0	0	0	0	0	0	0	0	0
w---h	3884	154	9	8	2	2	1	1	4	8	0	1	82
w---pt interaction	39338	2392	160	0	0	0	0	0	0	0	0	0	0
w---w	805	40	6	0	0	0	0	0	0	0	0	0	1

average trip duration: 1018.0506685506268 seconds = 00:16:58
