pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44596	1046	55	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	15	5	0	0	0	4	1	1	2	0	6
pt interaction---h	43836	1458	32	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17300	37243	30354	16217	5960	1456	350	241	220	121	76	45	237
pt interaction---w	50075	5338	24	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	19	6	2	0	2	0	6	3	6	1	80
w---pt interaction	52072	3000	176	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	18	3	0	2	1	0	0	1	0	0	2

average trip duration: 249.54505253830658 seconds = 00:04:09
