id,entering,leaving,passthrough,totalVolume
UNIV4,0.46077567758409144,0.0,0.0,0.46077567758409144
BUITRE2,0.32376195411908804,0.0,0.46984098573493954,0.5704205549806813
MELEN2,0.618852747755276,0.26967994498529685,0.5152810229381217,0.7029808440329967
CAPRI2,0.4714045207910317,0.0,0.7113062295575853,0.8350668007670652
PAMPA2,0.9570202978345286,0.0,0.870571500132014,1.2175985386128028
UDP4,0.8187552203212656,0.09782319760890369,1.2547781019392963,1.4813121596360823
TEQUE4,1.0799988033260886,0.4681645887845222,1.4076847139321647,1.7564494448053478
ESTAD2,0.12194215216993848,0.19156525704423027,1.7776627705192065,1.6564614394903652
SANPAS2,0.0,0.0,1.6668649981165533,1.6035674514745464
TORRE2,0.4296689244236597,0.4296689244236597,1.5522060801450157,1.6035674514745464
POPU4,0.282842712474619,0.7148713237105839,1.4510048802312396,1.4712510344737473
SALOM2,0.3651483716701107,0.435285750066007,1.4101084345189376,1.4344382763731174
FLORAI2,0.0,1.0037712264569911,1.0489254019125984,1.0457342615636247
CHIMI2,0.0,1.0457342615636247,0.0,0.0
