ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	106.21975462868996	106.21975462868996	106.21975462868996	106.21975462868996
1	105.57374517787888	105.10729229956999	105.90293230737883	106.69857231518863
2	105.37047591005162	103.98653012731145	105.58363249904302	107.14420259652444
3	105.55247082930934	102.92569034987268	105.32456088670749	107.56580293320664
4	105.73002917451493	101.88069568489885	105.07812717416176	107.98437560406146
5	105.9532130448441	100.89265167380647	104.86094517900439	108.36801127660198
6	106.03644963519673	99.81749263719084	104.61318439096912	108.73270346502045
7	106.16997427794081	98.79399827552655	104.41935066978675	109.10266616114626
8	106.3318451437542	97.82204161316292	104.24242376168348	109.45479342395244
9	106.52004231828138	96.95488616283434	104.09295678667424	109.80673458054353
10	106.72037948497587	96.09917959779561	103.96243578709903	110.12889383977425
11	106.87192109172625	95.34938717022045	103.847718835218	110.43996309775754
12	106.9720275440519	94.63832236529251	103.75623662755238	110.75011237417658
13	107.2624536254657	94.18921478432826	103.7327892530166	111.06149427274455
14	107.4697944725372	93.76803552586298	103.73181397577565	111.33466007131652
15	107.67278543275548	93.51054052191274	103.77418327114977	111.61379601932586
16	107.87365842712413	93.3003042556449	103.84743300598704	111.87187204908004
17	108.02884686160469	93.18563333846663	103.94925987560687	112.15198361090249
18	108.36048090387054	93.20862742022811	104.10225068905727	112.41522733061119
19	108.49989958637124	93.30876239798376	104.25612358744291	112.67234394024453
20	108.7751875656488	93.56227782188759	104.47114617575474	112.93075242185942
