pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44617	1047	46	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	0	0	2	0	0	3
pt interaction---h	43926	1452	32	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17224	37040	30607	16321	6066	1500	363	290	228	127	61	33	185
pt interaction---w	50107	5330	26	0	0	0	0	0	0	0	0	0	0
w---h	13649	203	20	6	1	0	1	0	2	1	2	1	26
w---pt interaction	52166	2984	175	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	18	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.5590432817041 seconds = 00:04:08
