ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	1782.7614158565711	
1	1783.1861385656114	
2	1784.6594823756307	
3	1787.3296576871714	
4	1789.4723151808641	
5	1791.6361724523108	
6	1793.97144562834	
7	1796.797181381061	
8	1797.8244696041804	
9	1800.3883746660922	
10	1802.5172412155334	
11	1804.7532985153284	
12	1807.0578414588965	
13	1809.457649719891	
14	1812.865299178382	
15	1815.7074804818374	
16	1818.8486853281786	
17	1820.5817897105185	
18	1822.3352171342906	
19	1824.9683078303717	
20	1828.578440195821	
