ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	0.7033069139627097	0.7033069139627097	0.7033069139627097	0.7033069139627097
1	0.7812170150240799	0.04128227139878789	0.8795678903507553	1.7178535093025735
2	1.0411901588378167	-0.863839486617676	0.8633621798804585	2.5735992849783105
3	1.4418479059452654	-1.8265142807207007	0.7953737266301568	3.3839031607696928
4	1.8305000510597116	-2.8593151061017066	0.6821911649511468	4.16197778072213
5	2.1783041005886288	-3.9935030946156935	0.4902293848631535	4.857824358470721
6	2.4757239355118044	-5.139408184809083	0.3165294565470883	5.5740336460519435
7	2.840571145992324	-6.302053818387844	0.15339133812249017	6.31243053125841
8	3.0523423314792004	-7.40369087907217	-0.04982272523021042	6.9227415783410065
9	3.3915537603256403	-8.486855071756274	-0.19684170780040416	7.568904091958896
10	3.7401369977705716	-9.380288989824617	-0.3039939383304657	8.209584617293844
11	4.008535713257189	-10.226523667982455	-0.36426179601659797	8.906248215398856
12	4.352864296021565	-11.016726793734827	-0.40568667544192344	9.571106243144651
13	4.671747171745035	-11.704848766716173	-0.4301498768440055	10.20778304494783
14	5.04728793052371	-12.20915726067475	-0.4063322028272054	10.842034739965882
15	5.429233391483454	-12.714637764422463	-0.3576990263141668	11.434222076719088
16	5.786319771992589	-13.021988567056558	-0.27384054266383223	11.988671427660991
17	6.011568797785998	-13.263071719715176	-0.1619905616541587	12.515870005791115
18	6.421167492346355	-13.400706873319482	0.009297042028991362	13.066804980829975
19	6.782748926228132	-13.417241453200003	0.23051861605821136	13.664309257393251
20	7.203203669519343	-13.439429185227798	0.476932220234354	14.305553010628566
