PRODUCTO,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,3403,1,10952,FLORA IND,SAN NICOLA,37,31,YES,28560,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,RIO CALI,37,30,YES,41700,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,CHIMINANGOS,37,38,YES,58680,0,0,0
UNIVIAJE-II,3403,1,10952,FLORA IND,FLORA IND,37,37,YES,69660,0,0,YES
UNIVIAJE-II,302,1,10960,BUITRERA,CHIMINANGOS,2,38,YES,63000,0,YES,0
UNIVIAJE-II,302,1,10960,BUITRERA,CHIMINANGOS,2,38,YES,65100,0,0,YES
UNIVIAJE-II,1805,1,10963,SUCRE,CENTRO,23,28,YES,61080,0,YES,0
UNIVIAJE-II,1805,1,10963,SUCRE,CHIMINANGOS,23,38,YES,66060,0,0,YES
UNIVIAJE-II,104,1,10968,UNIVERSIDA,UNIVERSIDA,39,39,YES,43740,0,YES,0
UNIVIAJE-II,104,1,10968,UNIVERSIDA,CAPRI,39,4,YES,67260,0,0,0
UNIVIAJE-II,104,1,10968,UNIVERSIDA,UNIVERSIDA,39,39,YES,77820,0,0,YES
UNIVIAJE-II,803,1,10972,PAMPALINDA,UNIVERSIDA,7,39,YES,35160,0,YES,0
UNIVIAJE-II,801,1,10972,PAMPALINDA,CHIMINANGOS,7,38,YES,60360,0,0,YES
UNIVIAJE-II,1203,1,10973,TEQUENDAMA,PAMPALINDA,10,7,YES,41040,0,YES,0
UNIVIAJE-II,1203,1,10973,TEQUENDAMA,CHIMINANGOS,10,38,YES,44820,0,0,YES
UNIVIAJE-II,3006,1,10980,CENTRO,REFUGIO,28,6,YES,58200,0,YES,0
UNIVIAJE-II,3006,1,10980,CENTRO,FLORA IND,28,37,YES,64560,0,0,YES
UNIVIAJE-II,1303,1,10993,ESTADIO,CHIMINANGOS,11,38,YES,75600,0,YES,0
UNIVIAJE-II,1302,1,10993,ESTADIO,CHIMINANGOS,11,38,YES,80460,0,0,YES
UNIVIAJE-II,6103,1,11018,TERMINAL MENGA,ERMITA,56,29,YES,23460,0,YES,0
UNIVIAJE-II,6104,1,11018,TERMINAL MENGA,UNIVERSIDA,56,39,YES,29040,0,0,0
UNIVIAJE-II,6103,1,11018,TERMINAL MENGA,FLORA IND,56,37,YES,72660,0,0,0
UNIVIAJE-II,6104,1,11018,TERMINAL MENGA,T. CALI,56,26,YES,77580,0,0,YES
UNIVIAJE-II,3202,1,11025,ERMITA,FLORA IND,29,37,YES,36900,0,YES,0
UNIVIAJE-II,3202,1,11025,ERMITA,ERMITA,29,29,YES,65640,0,0,YES
UNIVIAJE-II,104,1,11038,UNIVERSIDA,CHIMINANGOS,39,38,YES,24960,0,YES,0
UNIVIAJE-II,104,1,11038,UNIVERSIDA,PAMPALINDA,39,7,YES,31680,0,0,0
UNIVIAJE-II,104,1,11038,UNIVERSIDA,UNIVERSIDA,39,39,YES,35160,0,0,0
UNIVIAJE-II,104,1,11038,UNIVERSIDA,UNIVERSIDA,39,39,YES,37560,0,0,0
UNIVIAJE-II,104,1,11038,UNIVERSIDA,REFUGIO,39,6,YES,39780,0,0,0
UNIVIAJE-II,104,1,11038,UNIVERSIDA,UNIVERSIDA,39,39,YES,48600,0,0,0
UNIVIAJE-II,3001,1,11038,CENTRO,REFUGIO,28,6,YES,68100,0,0,YES
UNIVIAJE-II,1203,1,11040,TEQUENDAMA,CHIMINANGOS,10,38,YES,29820,0,YES,0
UNIVIAJE-II,1202,1,11040,TEQUENDAMA,PLZ TOROS,10,8,YES,44520,0,0,YES
UNIVIAJE-II,4103,1,11051,SAN NICOLA,POPULAR,31,35,YES,28020,0,YES,0
UNIVIAJE-II,4103,1,11051,SAN NICOLA,CHIMINANGOS,31,38,YES,43080,0,0,0
UNIVIAJE-II,4103,1,11051,SAN NICOLA,CHIMINANGOS,31,38,YES,59460,0,0,0
UNIVIAJE-II,4103,1,11051,SAN NICOLA,CHIMINANGOS,31,38,YES,65760,0,0,YES
UNIVIAJE-II,4403,1,11094,VERSALLES,TEQUENDAMA,43,10,YES,44640,0,YES,0
UNIVIAJE-II,4403,1,11094,VERSALLES,UNIVERSIDA,43,39,YES,58860,0,0,0
UNIVIAJE-II,4403,1,11094,VERSALLES,UNIVERSIDA,43,39,YES,74460,0,0,YES
UNIVIAJE-II,1103,1,11096,LIDO,PAMPALINDA,9,7,YES,39480,0,YES,0
UNIVIAJE-II,1101,1,11096,LIDO,REFUGIO,9,6,YES,54900,0,0,0
UNIVIAJE-II,1103,1,11096,LIDO,ESTADIO,9,11,YES,71100,0,0,YES
UNIVIAJE-II,1503,1,11102,ST LIBRADA,UNIVERSIDA,13,39,YES,18120,0,YES,0
UNIVIAJE-II,1503,1,11102,ST LIBRADA,FLORA IND,13,37,YES,68340,0,0,YES
UNIVIAJE-II,1002,1,11114,UND DEPORT,CHIMINANGOS,40,38,YES,43080,0,YES,0
UNIVIAJE-II,1002,1,11114,UND DEPORT,UNIVERSIDA,40,39,YES,60720,0,0,0
UNIVIAJE-II,1003,1,11114,UND DEPORT,UNIVERSIDA,40,39,YES,78540,0,0,YES
UNIVIAJE-II,1303,1,11121,ESTADIO,UNIVERSIDA,11,39,YES,47820,0,YES,0
UNIVIAJE-II,1302,1,11121,ESTADIO,UNIVERSIDA,11,39,YES,57840,0,0,0
UNIVIAJE-II,1302,1,11121,ESTADIO,UNIVERSIDA,11,39,YES,63300,0,0,YES
UNIVIAJE-II,104,1,11123,UNIVERSIDA,PAMPALINDA,39,7,YES,24600,0,YES,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,CALDAS,39,5,YES,31740,0,0,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,REFUGIO,39,6,YES,35340,0,0,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,REFUGIO,39,6,YES,44520,0,0,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,UNIVERSIDA,39,39,YES,57060,0,0,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,CAPRI,39,4,YES,66780,0,0,0
UNIVIAJE-II,104,1,11123,UNIVERSIDA,REFUGIO,39,6,YES,77820,0,0,YES
UNIVIAJE-II,1603,1,11142,SAN BOSCO,UNIVERSIDA,14,39,YES,19980,0,YES,0
UNIVIAJE-II,1603,1,11142,SAN BOSCO,PILOTO,14,32,YES,29580,0,0,0
UNIVIAJE-II,1601,1,11142,SAN BOSCO,FLORA IND,14,37,YES,41100,0,0,0
UNIVIAJE-II,1601,1,11142,SAN BOSCO,UNIVERSIDA,14,39,YES,53400,0,0,0
UNIVIAJE-II,1601,1,11142,SAN BOSCO,CHIMINANGOS,14,38,YES,62220,0,0,0
UNIVIAJE-II,1601,1,11142,SAN BOSCO,SALOMIA,14,36,YES,79560,0,0,YES
UNIVIAJE-II,3603,1,11147,POPULAR,FLORA IND,35,37,YES,24060,0,YES,0
UNIVIAJE-II,3603,1,11147,POPULAR,FLORA IND,35,37,YES,36120,0,0,0
UNIVIAJE-II,3603,1,11147,POPULAR,FLORA IND,35,37,YES,40740,0,0,0
UNIVIAJE-II,3603,1,11147,POPULAR,POPULAR,35,35,YES,62280,0,0,YES
UNIVIAJE-II,1203,1,11156,TEQUENDAMA,UNIVERSIDA,10,39,YES,49500,0,YES,0
UNIVIAJE-II,1202,1,11156,TEQUENDAMA,UNIVERSIDA,10,39,YES,76200,0,0,YES
UNIVIAJE-II,3002,1,11162,CENTRO,UNIVERSIDA,28,39,YES,42180,0,YES,0
UNIVIAJE-II,3001,1,11162,CENTRO,CHIMINANGOS,28,38,YES,52800,0,0,YES
UNIVIAJE-II,4103,1,11186,SAN NICOLA,FLORA IND,31,37,YES,57360,0,YES,0
UNIVIAJE-II,4103,1,11186,SAN NICOLA,SALOMIA,31,36,YES,65520,0,0,YES
UNIVIAJE-II,3403,1,11210,FLORA IND,CENTRO,37,28,YES,33000,0,YES,0
UNIVIAJE-II,3403,1,11210,FLORA IND,SALOMIA,37,36,YES,50340,0,0,0
UNIVIAJE-II,3403,1,11210,FLORA IND,TEQUENDAMA,37,10,YES,59520,0,0,0
UNIVIAJE-II,3403,1,11210,FLORA IND,PLZ TOROS,37,8,YES,70620,0,0,YES
UNIVIAJE-II,1904,1,11214,PETECUY,AMERICAS,24,44,YES,34140,0,YES,0
UNIVIAJE-II,1904,1,11214,PETECUY,UNIVERSIDA,24,39,YES,64380,0,0,YES
UNIVIAJE-II,4401,1,14293,VERSALLES,VERSALLES,43,43,YES,42120,0,YES,0
UNIVIAJE-II,4403,1,14293,VERSALLES,FLORA IND,43,37,YES,48180,0,0,YES
UNIVIAJE-II,701,1,14294,REFUGIO,UNIVERSIDA,6,39,YES,24420,0,YES,0
UNIVIAJE-II,701,1,14294,REFUGIO,MANZANARES,6,34,YES,35700,0,0,0
UNIVIAJE-II,701,1,14294,REFUGIO,UNIVERSIDA,6,39,YES,56520,0,0,0
UNIVIAJE-II,701,1,14294,REFUGIO,CHIMINANGOS,6,38,YES,63780,0,0,0
UNIVIAJE-II,701,1,14294,REFUGIO,FLORA IND,6,37,YES,67860,0,0,YES
UNIVIAJE-II,1103,1,14295,LIDO,CALDAS,9,5,YES,37260,0,YES,0
UNIVIAJE-II,1101,1,14295,LIDO,REFUGIO,9,6,YES,40920,0,0,0
UNIVIAJE-II,1103,1,14295,LIDO,CHIMINANGOS,9,38,YES,59880,0,0,YES
UNIVIAJE-II,104,1,14320,UNIVERSIDA,CALDAS,39,5,YES,21840,0,YES,0
UNIVIAJE-II,104,1,14320,UNIVERSIDA,CAPRI,39,4,YES,29160,0,0,0
UNIVIAJE-II,104,1,14320,UNIVERSIDA,REFUGIO,39,6,YES,47460,0,0,YES
UNIVIAJE-II,1202,1,14393,TEQUENDAMA,PAMPALINDA,10,7,YES,29400,0,YES,0
UNIVIAJE-II,1202,1,14393,TEQUENDAMA,CHIMINANGOS,10,38,YES,61140,0,0,YES
UNIVIAJE-II,104,1,14398,UNIVERSIDA,CALDAS,39,5,YES,32640,0,YES,0
UNIVIAJE-II,104,1,14398,UNIVERSIDA,REFUGIO,39,6,YES,36540,0,0,0
UNIVIAJE-II,104,1,14398,UNIVERSIDA,CALDAS,39,5,YES,45840,0,0,0
UNIVIAJE-II,104,1,14398,UNIVERSIDA,REFUGIO,39,6,YES,56220,0,0,0
UNIVIAJE-II,104,1,14398,UNIVERSIDA,CAPRI,39,4,YES,57360,0,0,0
UNIVIAJE-II,104,1,14398,UNIVERSIDA,CAPRI,39,4,YES,65700,0,0,YES
UNIVIAJE-II,3204,1,14409,ERMITA,MANZANARES,29,34,YES,44820,0,YES,0
UNIVIAJE-II,3204,1,14409,ERMITA,SALOMIA,29,36,YES,63600,0,0,YES
UNIVIAJE-II,3002,1,14418,CENTRO,PAMPALINDA,28,7,YES,53340,0,YES,0
UNIVIAJE-II,3002,1,14418,CENTRO,CALDAS,28,5,YES,69660,0,0,YES
UNIVIAJE-II,1304,1,14421,ESTADIO,REFUGIO,11,6,YES,48540,0,YES,0
UNIVIAJE-II,1306,1,14421,ESTADIO,UNIVERSIDA,11,39,YES,69420,0,0,YES
UNIVIAJE-II,3001,1,14425,CENTRO,FLORA IND,28,37,YES,47760,0,YES,0
UNIVIAJE-II,3002,1,14425,CENTRO,PAMPALINDA,28,7,YES,62100,0,0,YES
UNIVIAJE-II,3006,1,14439,CENTRO,CALDAS,28,5,YES,58860,0,YES,0
UNIVIAJE-II,3006,1,14439,CENTRO,CALDAS,28,5,YES,63900,0,0,0
UNIVIAJE-II,3006,1,14439,CENTRO,SAN BOSCO,28,14,YES,73440,0,0,YES
UNIVIAJE-II,3002,1,14441,CENTRO,REFUGIO,28,6,YES,40380,0,YES,0
UNIVIAJE-II,3001,1,14441,CENTRO,CENTRO,28,28,YES,56760,0,0,YES
UNIVIAJE-II,1904,1,14442,PETECUY,VERSALLES,24,43,YES,52260,0,YES,0
UNIVIAJE-II,1906,1,14442,PETECUY,CHIMINANGOS,24,38,YES,60840,0,0,YES
UNIVIAJE-II,2001,1,14449,SAN PEDRO,CHIMINANGOS,25,38,YES,41820,0,YES,0
UNIVIAJE-II,2001,1,14449,SAN PEDRO,CHIMINANGOS,25,38,YES,61560,0,0,YES
UNIVIAJE-II,4403,1,14450,VERSALLES,ESTADIO,43,11,YES,26940,0,YES,0
UNIVIAJE-II,4403,1,14450,VERSALLES,FATIMA,43,33,YES,53340,0,0,0
UNIVIAJE-II,4403,1,14450,VERSALLES,REFUGIO,43,6,YES,70020,0,0,YES
UNIVIAJE-II,4403,1,14468,VERSALLES,PAMPALINDA,43,7,YES,44640,0,YES,0
UNIVIAJE-II,4403,1,14468,VERSALLES,PLZ TOROS,43,8,YES,66180,0,0,YES
UNIVIAJE-II,3202,1,14482,ERMITA,PAMPALINDA,29,7,YES,38700,0,YES,0
UNIVIAJE-II,3202,1,14482,ERMITA,PLZ TOROS,29,8,YES,44580,0,0,0
UNIVIAJE-II,3202,1,14482,ERMITA,PAMPALINDA,29,7,YES,66480,0,0,YES
UNIVIAJE-II,3204,1,14483,ERMITA,ERMITA,29,29,YES,40080,0,YES,0
UNIVIAJE-II,3203,1,14483,ERMITA,SALOMIA,29,36,YES,68640,0,0,YES
UNIVIAJE-II,1203,1,14506,TEQUENDAMA,CHIMINANGOS,10,38,YES,36600,0,YES,0
UNIVIAJE-II,1203,1,14506,TEQUENDAMA,REFUGIO,10,6,YES,43800,0,0,YES
UNIVIAJE-II,3002,1,14515,CENTRO,CALDAS,28,5,YES,41220,0,YES,0
