pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44614	1046	49	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	14	3	0	0	0	0	0	1	0	0	3
pt interaction---h	43874	1448	29	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17273	37106	30409	16323	6030	1474	356	280	235	97	65	38	228
pt interaction---w	50088	5338	26	0	0	0	0	0	0	0	0	0	0
w---h	13648	202	20	6	1	2	1	0	2	1	5	1	41
w---pt interaction	52127	2992	176	0	0	0	0	0	0	0	0	0	0
w---w	19488	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.9711932436987 seconds = 00:04:08
