pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44579	1057	64	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	15	4	0	0	0	5	1	0	0	0	6
pt interaction---h	43856	1455	29	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17184	37416	30437	16189	5923	1406	316	225	212	114	71	45	262
pt interaction---w	50080	5334	27	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	17	7	4	2	2	1	6	2	5	1	70
w---pt interaction	52074	2999	179	0	0	0	0	0	0	0	0	0	0
w---w	19487	71	20	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.0695954569013 seconds = 00:04:09
