pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44600	1043	56	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	16	5	0	0	0	4	1	0	2	0	4
pt interaction---h	43840	1457	32	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17270	37353	30289	16205	5939	1451	358	247	231	113	71	42	262
pt interaction---w	50082	5340	22	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	18	7	3	1	3	1	7	2	6	1	74
w---pt interaction	52072	3009	174	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	18	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.8235749750631 seconds = 00:04:09
