pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	24	15	2	5	8	11	2	13	3	0	355
h---pt interaction	164713	15213	81	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	14	2	1	0	2	1	0	1	0	0	3
pt interaction---h	121027	1030	23	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	25508	34566	27265	26643	20990	6819	1458	1040	969	1093	1010	852	26492
pt interaction---w	37421	4583	19	0	0	0	0	0	0	0	0	0	0
w---h	3882	154	9	7	2	2	1	1	3	5	1	1	73
w---pt interaction	39333	2397	167	0	0	0	0	0	0	0	0	0	0
w---w	804	40	7	0	0	0	0	0	0	0	0	0	1

average trip duration: 1016.3105531873398 seconds = 00:16:56
