id,entering,leaving,passthrough,totalVolume
CHIMINANGOS,105,0,0,105
FLORA IND,54,2,103,156
SALOMIA,29,10,146,176
POPULAR,28,9,166,194
MANZANARES,50,16,178,227
FATIMA,79,18,209,288
RIO CALI,27,15,273,300
T. CALI,632,99,201,833
ERMITA,370,301,532,902
CENTRO,302,267,635,937
FRAY DAMIAN,12,8,929,941
SAN BOSCO,153,361,580,733
ST LIBRADA,212,121,612,824
MZ. SABER,142,173,651,793
ESTADIO,147,123,670,817
TEQUENDAMA,48,139,678,726
LIDO,82,107,620,702
UND DEPORT,58,84,617,675
PLZ TOROS,34,60,615,650
PAMPALINDA,41,77,573,614
REFUGIO,42,147,467,509
CALDAS,52,74,435,487
CAPRI,63,56,432,495
MELENDEZ,28,115,380,408
BUITRERA,15,117,292,307
UNIVALLE,14,87,220,234
UNIVERSIDA,0,234,0,0
