id,entering,leaving,passthrough,totalVolume
TERMINAL MENGA,398,0,0,398
ALAMOS,395,2,396,791
VIPASA,155,7,784,939
PRADOS,159,8,931,1090
AMERICAS,194,39,1051,1245
VERSALLES,50,45,1200,1250
T. CALI,272,497,753,1026
CAICEDO,17,275,751,768
SAN BOSCO,228,179,589,817
ESTADIO,124,200,616,740
TEQUENDAMA,65,146,594,659
UND DEPORT,38,67,592,630
PLZ TOROS,0,0,630,630
PAMPALINDA,44,117,513,558
REFUGIO,0,0,558,558
CALDAS,130,105,452,582
CAPRI,102,67,515,618
MELENDEZ,108,72,546,653
BUITRERA,21,203,451,471
UNIVERSIDA,0,471,0,0
