id,entering,leaving,passthrough,totalVolume
UNIVERSIDA,619,0,0,619
BUITRERA,308,71,549,856
MELENDEZ,123,115,741,865
CAPRI,100,41,824,924
CALDAS,168,135,790,958
PAMPALINDA,335,94,864,1199
UND DEPORT,254,72,1127,1382
TEQUENDAMA,197,368,1014,1211
ESTADIO,113,267,944,1057
SAN BOSCO,469,259,798,1268
SAN PASCUA,64,188,1079,1143
PETECUY,416,97,1046,1462
T. CALI,408,469,993,1401
VERSALLES,54,149,1252,1306
AMERICAS,37,317,989,1026
PRADOS,6,146,880,886
VIPASA,5,192,694,699
ALAMOS,3,379,320,323
TERMINAL MENGA,0,323,0,0
