pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	26	14	2	4	7	11	2	14	1	0	342
h---pt interaction	164723	15220	80	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	13	3	1	0	2	1	0	4	0	0	4
pt interaction---h	120858	1032	22	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	25391	34838	27425	26479	20852	6555	1475	1172	940	1090	1197	866	26263
pt interaction---w	37436	4588	17	0	0	0	0	0	0	0	0	0	0
w---h	3888	155	9	7	0	2	3	1	4	5	1	0	77
w---pt interaction	39348	2393	165	0	0	0	0	0	0	0	0	0	0
w---w	800	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 1014.7440912781237 seconds = 00:16:54
