pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	19	10	0	0	4	6	1	4	2	1	123
h---pt interaction	164897	15325	64	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	11	3	0	0	0	2	1	1	0	0	1
pt interaction---h	119569	1014	21	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24458	34947	27161	25951	20699	7057	1514	1170	887	689	807	837	26833
pt interaction---w	37410	4568	20	0	0	0	0	0	0	0	0	0	0
w---h	3879	152	7	6	0	1	1	1	2	5	0	1	35
w---pt interaction	39368	2391	160	0	0	0	0	0	0	0	0	0	0
w---w	797	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 994.2274453766503 seconds = 00:16:34
