pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44623	1046	43	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	4	0	0	0	0	0	0	0	0	2
pt interaction---h	43963	1451	30	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17178	36908	30612	16467	6150	1537	355	306	268	115	55	38	117
pt interaction---w	50115	5329	24	0	0	0	0	0	0	0	0	0	0
w---h	13650	202	17	6	1	0	1	0	2	0	0	0	14
w---pt interaction	52187	2989	173	0	0	0	0	0	0	0	0	0	0
w---w	19496	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 247.79767907831024 seconds = 00:04:07
