pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	24	11	0	2	4	4	1	13	1	0	238
h---pt interaction	164791	15288	72	0	0	0	0	0	0	0	0	0	0
h---w	3870	124	12	2	0	0	0	2	1	2	0	0	4
pt interaction---h	120284	1034	24	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24797	34900	27199	26536	20832	6804	1480	1074	962	1111	1324	1045	25812
pt interaction---w	37453	4582	19	0	0	0	0	0	0	0	0	0	0
w---h	3882	154	10	6	1	1	1	1	2	2	1	0	53
w---pt interaction	39405	2391	157	0	0	0	0	0	0	0	0	0	0
w---w	803	40	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 1008.4720253226437 seconds = 00:16:48
