pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---h	4081	30	17	6	0	0	2	7	1	5	2	1	98
h---pt interaction	164911	15351	64	0	0	0	0	0	0	0	0	0	0
h---w	3870	123	10	3	0	0	0	0	0	1	0	0	1
pt interaction---h	119342	1007	22	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	24260	34809	27321	25680	20598	7205	1465	1234	930	737	655	626	27209
pt interaction---w	37400	4568	19	0	0	0	0	0	0	0	0	0	0
w---h	3868	153	8	7	0	1	1	0	1	2	0	0	24
w---pt interaction	39378	2396	154	0	0	0	0	0	0	0	0	0	0
w---w	798	41	8	0	0	0	0	0	0	0	0	0	1

average trip duration: 988.8573141318675 seconds = 00:16:28
