pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44599	1051	49	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	15	4	0	0	0	2	1	2	1	0	7
pt interaction---h	43850	1461	30	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17270	37268	30369	16263	5924	1426	319	269	226	123	85	45	245
pt interaction---w	50079	5344	24	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	19	6	2	1	2	0	4	2	5	1	66
w---pt interaction	52080	3002	184	0	0	0	0	0	0	0	0	0	0
w---w	19490	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 249.47682903384887 seconds = 00:04:09
