PRODUCTO,INTEGRACION,VEH_ID,QPAX,CRD_SNR,O_ESTACION,D_ESTACION,O_ID_ESTACION,D_ID_ESTACION,TRONCAL,HORA_MATSIM,1_USO,START,END
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,45840,0,0,0
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,56220,0,0,0
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,57360,0,0,0
UNIVIAJE-II,,104,1,14398,UNIVERSIDA,0,39,0,YES,65700,0,0,YES
UNIVIAJE-II,,3204,1,14409,ERMITA,0,29,0,YES,44820,0,YES,0
UNIVIAJE-II,,3204,1,14409,ERMITA,0,29,0,YES,63600,0,0,YES
UNIVIAJE-II,,3002,1,14418,CENTRO,0,28,0,YES,53340,0,YES,0
UNIVIAJE-II,,3002,1,14418,CENTRO,0,28,0,YES,69660,0,0,YES
UNIVIAJE-II,,1304,1,14421,ESTADIO,0,11,0,YES,48540,0,YES,0
UNIVIAJE-II,,1306,1,14421,ESTADIO,0,11,0,YES,69420,0,0,YES
UNIVIAJE-II,,3001,1,14425,CENTRO,0,28,0,YES,47760,0,YES,0
UNIVIAJE-II,,3002,1,14425,CENTRO,0,28,0,YES,62100,0,0,YES
UNIVIAJE-II,,3006,1,14439,CENTRO,0,28,0,YES,58860,0,YES,0
UNIVIAJE-II,,3006,1,14439,CENTRO,0,28,0,YES,63900,0,0,0
UNIVIAJE-II,,3006,1,14439,CENTRO,0,28,0,YES,73440,0,0,YES
UNIVIAJE-II,,3002,1,14441,CENTRO,0,28,0,YES,40380,0,YES,0
UNIVIAJE-II,,3001,1,14441,CENTRO,0,28,0,YES,56760,0,0,YES
UNIVIAJE-II,,1904,1,14442,PETECUY,0,24,0,YES,52260,0,YES,0
UNIVIAJE-II,,1906,1,14442,PETECUY,0,24,0,YES,60840,0,0,YES
UNIVIAJE-II,,2001,1,14449,SAN PEDRO,0,25,0,YES,41820,0,YES,0
UNIVIAJE-II,,2001,1,14449,SAN PEDRO,0,25,0,YES,61560,0,0,YES
UNIVIAJE-II,,4403,1,14450,VERSALLES,0,43,0,YES,26940,0,YES,0
UNIVIAJE-II,,4403,1,14450,VERSALLES,0,43,0,YES,53340,0,0,0
UNIVIAJE-II,,4403,1,14450,VERSALLES,0,43,0,YES,70020,0,0,YES
UNIVIAJE-II,,4403,1,14468,VERSALLES,0,43,0,YES,44640,0,YES,0
UNIVIAJE-II,,4403,1,14468,VERSALLES,0,43,0,YES,66180,0,0,YES
UNIVIAJE-II,,3202,1,14482,ERMITA,0,29,0,YES,38700,0,YES,0
UNIVIAJE-II,,3202,1,14482,ERMITA,0,29,0,YES,44580,0,0,0
UNIVIAJE-II,,3202,1,14482,ERMITA,0,29,0,YES,66480,0,0,YES
UNIVIAJE-II,,3204,1,14483,ERMITA,0,29,0,YES,40080,0,YES,0
UNIVIAJE-II,,3203,1,14483,ERMITA,0,29,0,YES,68640,0,0,YES
UNIVIAJE-II,,1203,1,14506,TEQUENDAMA,0,10,0,YES,36600,0,YES,0
UNIVIAJE-II,,1203,1,14506,TEQUENDAMA,0,10,0,YES,43800,0,0,YES
UNIVIAJE-II,,3002,1,14515,CENTRO,0,28,0,YES,41220,0,YES,0
UNIVIAJE-II,,3002,1,14515,CENTRO,0,28,0,YES,56520,0,0,YES
UNIVIAJE-II,,3002,1,14516,CENTRO,0,28,0,YES,47040,0,YES,0
UNIVIAJE-II,,3002,1,14516,CENTRO,0,28,0,YES,63420,0,0,YES
UNIVIAJE-II,,903,1,14524,PLZ TOROS,0,8,0,YES,41460,0,YES,0
UNIVIAJE-II,,903,1,14524,PLZ TOROS,0,8,0,YES,54540,0,0,0
UNIVIAJE-II,,903,1,14524,PLZ TOROS,0,8,0,YES,68700,0,0,YES
