pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
h---pt interaction	44619	1041	51	0	0	0	0	0	0	0	0	0	0
h---w	13606	150	13	3	0	0	0	1	0	1	0	0	1
pt interaction---h	43868	1458	32	0	0	0	0	0	0	0	0	0	0
pt interaction---pt interaction	17285	37245	30396	16234	6038	1446	334	288	233	100	70	36	242
pt interaction---w	50089	5341	25	0	0	0	0	0	0	0	0	0	0
w---h	13649	202	19	6	2	2	1	1	3	2	3	0	42
w---pt interaction	52121	2996	175	0	0	0	0	0	0	0	0	0	0
w---w	19488	70	19	3	0	2	1	0	0	1	0	0	1

average trip duration: 248.9173246438568 seconds = 00:04:08
